ORF,Gene name,WT1,WT2,WT3
YAL001C,TFC3,4.99E-04,,
YAL002W,VPS8,5.26E-04,,5.17E-04
YAL005C,SSA1,3.49E-02,5.43E-02,5.11E-02
YAL007C,ERP2,1.65E-03,1.26E-03,1.75E-03
YAL008W,FUN14,,,
YAL009W,SPO7,,NA,
YAL010C,MDM10,NA,NA,NA
YAL011W,SWC3,,5.93E-04,6.11E-04
YAL012W,CYS3,4.84E-03,5.80E-03,7.09E-03
YAL014C,SYN8,5.66E-04,6.39E-04,5.65E-04
YAL015C,NTG1,,,
YAL016W,TPD3,2.36E-03,2.53E-03,3.00E-03
YAL017W,PSK1,6.10E-04,,
YAL019W,FUN30,9.80E-04,5.82E-04,7.22E-04
YAL021C,CCR4,1.29E-03,9.97E-04,1.23E-03
YAL023C,PMT2,5.24E-04,5.20E-04,
YAL024C,LTE1,5.51E-04,,
YAL026C,DRS2,1.26E-03,1.05E-03,1.30E-03
YAL027W,SAW1,,,
YAL029C,MYO4,9.07E-04,5.36E-04,7.54E-04
YAL031C,GIP4,5.56E-04,5.36E-04,6.08E-04
YAL032C,PRP45,5.10E-04,6.05E-04,6.05E-04
YAL033W,POP5,1.65E-03,1.67E-03,1.80E-03
YAL034W-A,MTW1,4.89E-04,5.79E-04,
YAL035W,FUN12,7.13E-03,3.83E-03,5.65E-03
YAL036C,RBG1,1.86E-03,1.98E-03,2.85E-03
YAL038W,CDC19,NA,3.02E-02,3.23E-02
YAL039C,CYC3,8.65E-04,,7.09E-04
YAL041W,CDC24,8.91E-04,7.80E-04,7.68E-04
YAL043C,PTA1,7.89E-04,7.33E-04,6.85E-04
YAL044C,GCV3,7.23E-03,6.49E-03,7.73E-03
YAL047C,SPC72,,5.00E-04,5.64E-04
YAL049C,AIM2,,5.28E-04,
YAL053W,FLC2,5.85E-04,5.49E-04,5.39E-04
YAL054C,ACS1,,,
YAL055W,PEX22,,4.90E-04,
YAL056W,GPB2,,4.97E-04,
YAL058W,CNE1,,,
YAL059W,ECM1,8.02E-04,6.71E-04,8.99E-04
YAL060W,BDH1,4.82E-03,5.34E-03,6.06E-03
YAL061W,BDH2,,6.05E-04,6.02E-04
YAR002C-A,ERP1,2.25E-03,1.60E-03,2.21E-03
YAR002W,NUP60,8.78E-04,9.60E-04,7.92E-04
YAR003W,SWD1,,,5.25E-04
YAR007C,RFA1,1.37E-03,NA,1.69E-03
YAR009C,,5.94E-04,,
YAR014C,BUD14,1.13E-03,9.94E-04,8.90E-04
YAR015W,ADE1,1.09E-02,9.09E-03,9.87E-03
