Gene ID,REF,EtOH  20g/L,EtOH  40g/L,EtOH  60g/L,Osmo 0.2 M (NaCl),Osmo 0.4 M (NaCl),Osmo 0.6 M (NaCl),Temp 33C,Temp 36C,Temp 38C,EtOH20 vs REF,EtOH40 vs REF,EtOH60 vs REF,Osm200 vs REF,Osm400 vs REF,Osm600 vs REF,Temp33 vs REF,Temp36 vs REF,Temp38 vs REF,EtOH20 vs REF,EtOH40 vs REF,EtOH60 vs REF,Osm200 vs REF,Osm400 vs REF,Osm600 vs REF,Temp33 vs REF,Temp36 vs REF,Temp38 vs REF
YAL003W,45339.22573,47622.51442,43417.8103,38286.13124,49239.39024,48080.30681,51206.0736,49182.56994,50381.72408,48439.9012,-0.021338223,0.018806182,0.073432616,-0.035838567,-0.025493131,-0.052847377,-0.035337119,-0.045798926,-0.028729149,0.817705387,0.708533381,0.25341475,0.86645689,0.907790092,0.473666538,0.500447083,0.475479943,0.39953842
YAL007C,908.0197833,1070.861812,987.8458756,1271.096559,1068.812273,1053.598465,1038.050437,956.4020462,699.960175,758.6484646,-0.071638121,-0.03659388,-0.146083232,-0.070806121,-0.064579818,-0.058123145,-0.022545186,0.11302198,0.078054728,0.668118131,0.747140353,0.240383448,0.850165909,0.889254667,0.655534987,0.912513543,0.441960349,0.609315651
YAL012W,13484.19157,13192.1724,14250.47977,20882.97154,15546.86298,15948.62126,20129.27257,16819.0615,14444.20585,19957.40285,0.009508596,-0.024004572,-0.189967383,-0.061817857,-0.072898231,-0.174003167,-0.095976845,-0.029868755,-0.17027911,0.924600277,0.59222986,0.081311273,0.850165909,0.608630219,0.054513431,0.441779341,0.744585719,0.076526437
YAL014C,115.4072471,NA,101.3902473,134.1837797,NA,NA,NA,114.7960463,NA,162.0397255,NA,0.056236899,-0.065466939,NA,NA,NA,0.002306151,NA,-0.147388417,NA,NA,NA,NA,NA,NA,NA,NA,NA
YAL016W,863.8697892,674.0771589,757.7555777,870.1668353,887.6644603,835.9973716,825.3804977,839.4553325,948.5843076,661.4717435,0.107738675,0.056919145,-0.003154241,-0.011800546,0.014243374,0.019794083,0.012450694,-0.04062765,0.115936989,0.241673335,0.337025567,0.955219972,0.942163687,0.958740711,0.798809766,0.896553445,0.485615803,0.096765519
YAL021C,609.9050747,668.5793817,490.341903,453.1912156,552.6944276,538.4104713,571.1678501,546.874369,526.2237322,510.6691365,-0.039890732,0.094763239,0.128980764,0.042777161,0.054148749,0.028498493,0.047374678,0.064091816,0.077122636,0.673166397,0.300121816,0.124390913,0.868656189,0.790047925,0.751873192,0.605776669,0.408446566,0.447718231
YAL025C,487.1356398,406.4227677,470.5977215,453.6733253,574.1629836,546.8261868,624.0240502,565.4640887,629.2081328,422.706275,0.078671876,0.015000084,0.03090666,-0.071385285,-0.0501994,-0.107551423,-0.064755125,-0.111144423,0.06161121,0.171142654,0.774169603,0.664433397,0.850165909,0.608630219,0.140507943,0.714359126,0.255860257,0.30336432
YAL033W,NA,NA,126.1699194,NA,NA,NA,NA,NA,461.4498079,82.81842662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YAL035W,424.0465239,385.4709847,394.1147981,464.4383912,427.0462203,470.9491353,507.2841294,390.8503682,451.3437906,643.4939996,0.041421814,0.031790766,-0.039514605,-0.003061375,-0.045560496,-0.077837768,0.035402982,-0.027093965,-0.181130994,0.511522635,0.312527548,0.44131295,0.983159768,0.608557712,0.13313609,0.626770638,0.69974934,0.00760433
YAL036C,284.6122299,297.5388934,271.2416284,203.5442343,342.0779215,405.5654272,476.887345,359.008143,389.0710408,395.3021127,-0.019290186,0.020897215,0.145594753,-0.079871487,-0.153807368,-0.22416224,-0.100850741,-0.135775349,-0.142675577,0.844994345,0.804207427,0.040051459,0.850165909,0.306051606,0.083875126,0.289723034,0.165269699,0.092404236
YAL038W,23006.67682,20924.54532,11238.8849,17067.42432,25625.45638,26549.90388,25850.94792,25953.27657,26633.16102,51911.89231,0.041197862,0.311130668,0.129685906,-0.046817717,-0.062209061,-0.050622581,-0.052338303,-0.063568823,-0.353412968,0.506482427,0.02033365,0.111544427,0.850165909,0.628250738,0.511996535,0.589364864,0.336158957,0.031482224
YAL041W,NA,56.95609186,63.39851804,80.90965001,NA,54.01675211,42.47636486,50.57584572,56.47453477,52.00362059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YAL042W,304.6210134,258.6723936,297.0351126,311.3791701,331.1477911,305.7868499,277.4392775,254.8020836,219.6782289,223.9023055,0.071009777,0.010952068,-0.009529698,-0.036262004,-0.001658946,0.040591914,0.077556884,0.14197284,0.133701293,0.364431088,0.907895023,0.839654328,0.850165909,0.973392597,0.290863723,0.441779341,0.047480211,0.091946713
YAL044C,6074.368635,7864.648221,6961.644341,4290.204683,5085.071136,4764.024899,3665.818695,5497.113671,5468.024277,3190.460614,-0.112178157,-0.059210688,0.151023132,0.077204112,0.105527122,0.219330163,0.043366427,0.04567071,0.279647757,0.181323945,0.194665113,0.03786146,0.850165909,0.668347719,0.045140774,0.639079884,0.510218685,0.017171269
YAL049C,3175.762283,4217.003979,3038.585171,2631.900891,2724.796256,2606.025175,1961.617456,3993.28397,4622.818452,3253.309239,-0.123156024,0.019176572,0.081578455,0.066513953,0.08586938,0.209233669,-0.099482208,-0.163058852,-0.01047736,0.364431088,0.791076236,0.366852147,0.850165909,0.826920331,0.067805714,0.303866311,0.140724019,0.918711216
YAL059W,152.284324,138.2062316,102.4144745,94.57782421,158.1207264,144.662744,135.1107055,182.0846208,157.5350431,110.4342576,0.042127574,0.172293859,0.206865881,-0.016333601,0.022298501,0.051965438,-0.077618066,-0.014721976,0.139551384,0.766565356,0.049895775,0.02464233,0.924645216,0.940329816,0.503995335,0.606481681,0.915324245,0.03605894
YAL060W,1616.228657,484.3967394,326.9975098,245.58441,1572.5941,1701.619224,2291.430498,2232.427305,3007.438384,4370.699128,0.523301592,0.693958358,0.818302009,0.011886161,-0.02235958,-0.151603886,-0.140274523,-0.269693935,-0.432048108,0.015377749,0.00755203,0.001022034,0.924645216,0.608630219,0.127537513,0.49142666,0.161268612,0.012222396
YAR002C-A,104.9537972,103.083933,105.5663149,125.6236582,108.9906308,102.4144808,100.5807997,104.6018777,97.83502602,101.4820237,0.007807176,-0.002527206,-0.07807328,-0.01639101,0.010636788,0.018483072,0.001458675,0.030503791,0.014609037,0.936549223,0.952245999,0.281193492,0.911027875,0.962120938,0.857738612,0.97194946,0.291828788,0.770922443
