ORF,Plate_No,Well_No,gene,localization_summary,noMMS,MMS,noMMS_norm,MMS_norm,MMSRatio
YML058W-A,GFP(+)36,B8,HUG1,cytoplasm,6.978305849,74.98942093,1.505305849,69.51642093,46.18092795
YGR174C,GFP(+)43,D10,CBP4,mitochondrion,7.498942093,48.69675252,2.312942093,43.51075252,18.81186418
YLL052C,GFP(+)43,B12,AQY2,ER,7.299300614,27.13899431,2.113300614,21.95299431,10.38801303
YBL064C,GFP(+)27,F8,PRX1,mitochondrion,8.582103543,40.31519363,3.443103543,35.17619363,10.2164205
YKL016C,GFP(+)43,B10,ATP7,mitochondrion,13.69994268,87.37883499,8.513942677,82.19283499,9.65390984
YJR137C,GFP(+)01,A11,ECM17,cytoplasm,9.733773809,43.32302267,3.956773809,37.54602267,9.489049535
YNR006W,GFP(+)10,F12,VPS27,endosome,7.431795488,20.72078717,1.654795488,14.94378717,9.030594585
YCL005W,GFP(+)27,C12,,lipid particle,6.208243607,12.63462918,1.069243607,7.495629177,7.010216499
YJL144W,GFP(+)35,B10,,cytoplasm,6.67142718,13.09747264,1.09842718,7.524472643,6.850224373
YAL009W,GFP(+)27,C10,SPO7,nucleus,6.378043839,13.33521432,1.239043839,8.196214322,6.614951033
YBR088C,GFP(+)27,H10,POL30,nucleus,6.611690262,14.59024216,1.472690262,9.451242156,6.417671385
YOR220W,GFP(+)27,D7,,cytoplasm,6.853895839,15.96338544,1.714895839,10.82438544,6.311978371
YML131W,GFP(+)21,G9,,cytoplasm,7.98626561,20.16914555,2.26126561,14.07214555,6.223128096
YIL066C,GFP(+)05,G8,RNR3,cytoplasm,11.54781985,38.89051999,5.283819847,32.62651999,6.174797956
YDR453C,GFP(+)31,E8,TSA2,cytoplasm,8.816830668,25.71320723,3.293830668,20.19020723,6.129704065
YLR323C,GFP(+)27,F10,CWC24,nucleus,6.264335367,11.9708503,1.125335367,6.831850305,6.070946056
YGL053W,GFP(+)42,D12,PRM8,ambiguous,6.435669751,13.33521432,1.387669751,8.287214322,5.972036442
YJR096W,GFP(+)26,C8,,"cytoplasm,nucleus",6.552488237,13.57727142,1.413488237,8.438271421,5.969820758
YBR173C,GFP(+)33,G11,UMP1,"cytoplasm,nucleus",6.435669751,13.09747264,1.342669751,8.004472643,5.961609426
YJR011C,GFP(+)27,E9,,ambiguous,6.264335367,11.75743266,1.125335367,6.618432659,5.881298016
YKL086W,GFP(+)34,B12,,"cytoplasm,nucleus",6.978305849,12.74878362,1.201305849,6.971783618,5.803504266
YFL044C,GFP(+)25,B6,,"cytoplasm,nucleus",6.67142718,14.72206565,1.71342718,9.764065648,5.698558865
YDL076C,GFP(+)25,B11,RXT3,nucleus,6.208243607,12.07900747,1.250243607,7.121007474,5.695695969
YBR244W,GFP(+)33,H3,GPX2,"cytoplasm,nucleus",12.63462918,47.40031742,7.541629177,42.30731742,5.609837932
YDL203C,GFP(+)10,A12,,ambiguous,7.233941627,13.94862022,1.456941627,8.171620224,5.608749226
YFL014W,GFP(+)35,B7,HSP12,"cytoplasm,nucleus",130.9747264,704.1355155,125.4017264,698.5625155,5.570597275
YPR107C,GFP(+)30,E11,YTH1,nucleus,6.378043839,11.1397386,1.051043839,5.8127386,5.530443531
YCR067C,GFP(+)37,G7,SED4,ER,7.104974114,13.45569858,1.430974114,7.781698581,5.438042871
YJR047C,GFP(+)33,G6,ANB1,cytoplasm,7.136998821,15.96338544,2.043998821,10.87038544,5.318195555
YHL018W,GFP(+)35,E3,,mitochondrion,7.041355155,13.33521432,1.468355155,7.762214322,5.286333007
YMR039C,GFP(+)25,H12,SUB1,nucleus,7.498942093,18.10558243,2.540942093,13.14758243,5.174294395
YLR271W,GFP(+)27,F1,,"cytoplasm,nucleus",6.320933918,11.24038664,1.181933918,6.101386638,5.162206234
YFR047C,GFP(+)25,B10,BNA6,"cytoplasm,nucleus",7.104974114,15.82044699,2.146974114,10.86244699,5.0594215
YGL167C,GFP(+)37,D11,PMR1,ER,12.63462918,40.31519363,6.960629177,34.64119363,4.976733101
