ORF,Gene,Description,Number of peptides,glucose,maltose,oleate,fructose,sucrose,trehalose,lactate,acetate,pryuvate,glycerol
YLR055C,SPT8,"Subunit of the SAGA transcriptional regulatory complex but not present in SAGA-like complex SLIK/SALSA, required for SAGA-mediated inhibition at some promoters",22,2412.960,2447.080,2506.110,2737.550,2441.630,3114.620,2288.520,3190.690,2355.260,2635.010
YIL022W,TIM44,Essential component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); tethers the import motor and regulatory factors (PAM complex) to the translocation channel (Tim23p-Tim17p core complex),54,10266.000,11029.600,12723.700,10204.100,11648.100,12573.700,13427.200,24044.300,15492.100,14045.100
YER004W,FMP52,"Protein of unknown function, localized to the mitochondrial outer membrane; induced by treatment with 8-methoxypsoralen and UVA irradiation",39,4279.790,16597.700,21033.000,4647.240,4166.330,15342.400,14972.900,15255.100,10939.900,12175.300
YKL164C,PIR1,"O-glycosylated protein required for cell wall stability; attached to the cell wall via beta-1,3-glucan; mediates mitochondrial translocation of Apn1p; expression regulated by the cell integrity pathway and by Swi5p during the cell cycle",4,734.251,53.948,181.307,489.347,596.811,207.793,283.862,27.540,504.826,340.962
YJL159W,HSP150,"O-mannosylated heat shock protein that is secreted and covalently attached to the cell wall via beta-1,3-glucan and disulfide bridges; required for cell wall stability; induced by heat shock, oxidative stress, and nitrogen limitation",19,3138.890,1986.760,2395.520,2394.140,2549.840,3384.720,3639.970,1148.860,3859.700,2791.890
YJL158C,CIS3,Mannose-containing glycoprotein constituent of the cell wall; member of the PIR (proteins with internal repeats) family,13,4237.140,1268.880,2479.160,4156.490,3783.870,1952.100,3137.690,493.413,1298.650,3737.140
YKL163W,PIR3,"O-glycosylated covalently-bound cell wall protein required for cell wall stability; expression is cell cycle regulated, peaking in M/G1 and also subject to regulation by the cell integrity pathway",2,187.497,661.781,374.048,55.675,81.843,403.612,127.628,22.275,127.019,304.686
YER153C,PET122,"Mitochondrial translational activator specific for the COX3 mRNA, acts together with Pet54p and Pet494p; located in the mitochondrial inner membrane",7,476.886,1315.520,1417.510,503.257,661.499,1391.990,1302.380,1898.510,1315.720,1119.180
YLR386W,VAC14,"Protein involved in regulated synthesis of PtdIns(3,5)P(2), in control of trafficking of some proteins to the vacuole lumen via the MVB, and in maintenance of vacuole size and acidity; interacts with Fig4p; activator of Fab1p",39,5239.830,6859.080,6946.510,5631.350,5803.230,7119.310,8153.260,7508.460,7717.680,7598.330
YGL169W,SUA5,"Single-stranded telomeric DNA-binding protein, required for normal telomere length; null mutant lacks N6-threonylcarbamoyl adenosine (t6A) modification in the anticodon loop of ANN-decoding tRNA; member of conserved YrdC/Sua5 family",21,4088.710,3573.520,3851.920,4012.610,4591.300,3660.230,3624.020,4502.950,4828.730,4302.240
YML048W,GSF2,"ER localized integral membrane protein that may promote secretion of certain hexose transporters, including Gal2p; involved in glucose-dependent repression",53,14765.400,12330.100,13050.000,14167.500,15293.900,13392.900,13696.500,10322.100,13414.400,14984.800
YDR298C,ATP5,"Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase, which is an evolutionarily conserved enzyme complex required for ATP synthesis; homologous to bovine subunit OSCP (oligomycin sensitivity-conferring protein); phosphorylated",100,4675.360,21865.300,32712.200,5404.850,7372.330,25170.600,26254.900,58597.900,32119.100,31371.800
YPR041W,TIF5,Translation initiation factor eIF5; functions both as a GTPase-activating protein to mediate hydrolysis of ribosome-bound GTP and as a GDP dissociation inhibitor to prevent recycling of eIF2,71,23352.900,13269.900,13310.000,21118.600,21778.000,12523.600,13950.100,14411.000,15185.200,13590.900
YLR045C,STU2,Microtubule-associated protein (MAP) of the XMAP215/Dis1 family; regulates microtubule dynamics during spindle orientation and metaphase chromosome alignment; interacts with spindle pole body component Spc72p,49,9627.280,6727.520,11184.200,9291.230,9308.540,10392.300,12067.200,10004.100,12443.600,11020.500
YMR288W,HSH155,U2-snRNP associated splicing factor that forms extensive associations with the branch site-3' splice site-3' exon region upon prespliceosome formation; similarity to the mammalian U2 snRNP-associated splicing factor SAP155,29,5616.860,4833.980,4484.480,5610.320,6010.440,4583.430,5223.900,3746.560,5088.400,4870.300
YLR209C,PNP1,"Purine nucleoside phosphorylase, specifically metabolizes inosine and guanosine nucleosides; involved in the nicotinamide riboside salvage pathway",31,3059.710,4138.670,5567.670,3100.900,3075.070,5514.810,4999.410,4066.000,5265.500,5454.590
YDR163W,CWC15,"Non-essential protein involved in pre-mRNA splicing, component of a complex containing Cef1p; has similarity to S. pombe Cwf15p",11,2868.380,1812.910,2162.310,2854.800,3106.940,2169.940,2150.120,741.707,2997.860,2742.120
YOR057W,SGT1,Cochaperone protein; regulates activity of adenylyl cyclase Cyr1p; involved in kinetochore complex assembly; associates with the SCF (Skp1p/Cdc53p/F box protein) ubiquitin ligase complex; acts as a linker between Skp1p and HSP90 complexes,33,7947.040,9097.090,7415.400,8153.260,8187.560,8475.670,7532.860,6637.730,7443.770,8383.660
YCL017C,NFS1,Cysteine desulfurase involved in iron-sulfur cluster (Fe/S) biogenesis and in thio-modification of mitochondrial and cytoplasmic tRNAs; essential protein located predominantly in mitochondria,41,4894.820,6237.560,7276.030,5079.220,5580.960,6436.180,7383.480,11824.300,7196.290,6378.250
YGR254W,ENO1,"Enolase I, a phosphopyruvate hydratase that catalyzes the conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression is repressed in response to glucose",577,126916.000,230662.000,73253.700,138511.000,112554.000,128735.000,148036.000,58942.900,102340.000,85014.800
YHR174W,ENO2,"Enolase II, a phosphopyruvate hydratase that catalyzes the conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression is induced in response to glucose",430,123441.000,69382.400,27680.400,120559.000,103839.000,40705.400,33614.300,31304.000,40087.100,33232.600
YER023W,PRO3,"Delta 1-pyrroline-5-carboxylate reductase, catalyzes the last step in proline biosynthesis",73,15322.500,12186.300,15598.100,16277.700,18192.000,16142.500,12243.600,16564.900,16137.000,15020.400
YDR487C,RIB3,"3,4-dihydroxy-2-butanone-4-phosphate synthase (DHBP synthase), required for riboflavin biosynthesis from ribulose-5-phosphate, also has an unrelated function in mitochondrial respiration",40,8801.680,7313.820,8222.310,8957.100,8712.930,8292.920,8634.410,4674.920,9588.740,9946.550
YLR059C,REX2,"3'-5' RNA exonuclease; involved in 3'-end processing of U4 and U5 snRNAs, 5S and 5.8S rRNAs, and RNase P and RNase MRP RNA; localized to mitochondria and null suppresses escape of mtDNA to nucleus in yme1 yme2 mutants; RNase D exonuclease",22,2535.620,3764.490,4032.480,2878.960,2757.240,4332.670,3317.900,3906.670,4178.160,4883.880
YFL041W,FET5,"Multicopper oxidase, integral membrane protein with similarity to Fet3p; may have a role in iron transport",26,2413.430,3074.450,3851.300,2464.280,2593.550,3013.200,3708.070,7410.700,3685.570,3719.030
YMR108W,ILV2,"Acetolactate synthase, catalyses the first common step in isoleucine and valine biosynthesis and is the target of several classes of inhibitors, localizes to the mitochondria; expression of the gene is under general amino acid control",146,24744.600,20076.800,20652.500,22405.800,25594.700,22534.900,23861.400,50452.200,37334.800,20044.600
YDR414C,ERD1,"Predicted membrane protein required for the retention of lumenal endoplasmic reticulum proteins; mutants secrete the endogenous ER protein, BiP (Kar2p)",3,538.882,374.182,406.506,453.519,449.457,440.681,587.411,281.475,535.985,477.243
YML081C-A,ATP18,"Subunit of the mitochondrial F1F0 ATP synthase, which is a large enzyme complex required for ATP synthesis; termed subunit I or subunit j; does not correspond to known ATP synthase subunits in other organisms",11,655.839,3800.680,5323.000,866.851,1173.630,4805.720,4057.100,6553.270,5366.910,5583.160
YKR009C,FOX2,Multifunctional enzyme of the peroxisomal fatty acid beta-oxidation pathway; has 3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase activities,251,4223.230,53846.300,237787.000,3804.730,2349.830,49070.800,40784.900,11484.900,17182.500,93373.800
YDR408C,ADE8,"Phosphoribosyl-glycinamide transformylase, catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway",20,6060.380,3383.510,5809.130,6087.190,6195.270,3891.720,6038.620,7392.640,7028.970,3831.490
YKR097W,PCK1,"Phosphoenolpyruvate carboxykinase, key enzyme in gluconeogenesis, catalyzes early reaction in carbohydrate biosynthesis, glucose represses transcription and accelerates mRNA degradation, regulated by Mcm1p and Cat8p, located in the cytosol",353,3330.390,70822.000,96078.000,2893.780,2224.360,82359.900,83209.200,154880.000,105808.000,35575.900
YOR230W,WTM1,"Transcriptional modulator involved in regulation of meiosis, silencing, and expression of RNR genes; required for nuclear localization of the ribonucleotide reductase small subunit Rnr2p and Rnr4p; contains WD repeats",93,6816.780,24799.500,19753.000,6688.780,6223.700,24597.600,30808.600,20069.900,22341.600,14715.900
YCL043C,PDI1,"Protein disulfide isomerase; multifunctional protein resident in the endoplasmic reticulum lumen, essential for the formation of disulfide bonds in secretory and cell-surface proteins, unscrambles non-native disulfide bonds; forms a complex with Mnl1p that has exomannosidase activity, processing unfolded protein-bound Man8GlcNAc2 oligosaccharides to Man7GlcNAc2 which promotes degradation in the unfolded protein response",172,43242.700,43028.400,33268.800,40815.400,39146.400,37526.800,34286.800,60196.100,33532.900,36726.400
YOR141C,ARP8,"Nuclear actin-related protein involved in chromatin remodeling, component of chromatin-remodeling enzyme complexes; has mRNA binding activity",42,8726.840,10034.900,10879.400,8778.400,9689.540,11916.200,12243.300,8628.440,10868.100,11392.500
YJL012C,VTC4,Vacuolar membrane polyphosphate polymerase; subunit of the vacuolar transporter chaperone (VTC) complex involved in synthesis and transfer of polyP to the vacuole; regulates membrane trafficking; role in non-autophagic vacuolar fusion,61,16271.600,8830.390,11732.300,14667.100,14442.000,10119.300,14026.600,25043.100,21676.800,12604.900
YFR033C,QCR6,"Subunit 6 of the ubiquinol cytochrome-c reductase complex, which is a component of the mitochondrial inner membrane electron transport chain; highly acidic protein; required for maturation of cytochrome c1",30,974.844,10626.700,8365.040,1368.350,1837.010,8922.190,7013.710,10738.800,7577.490,9059.990
YDL078C,MDH3,"Peroxisomal malate dehydrogenase, catalyzes interconversion of malate and oxaloacetate; involved in the glyoxylate cycle",70,5097.710,16064.700,31843.500,4825.820,5283.700,14395.200,11472.000,14663.300,11536.800,17114.100
YML079W,YML079W,"Non-essential protein of unknown function with structural resemblance to plant storage and ligand binding proteins (canavalin, glycinin, auxin binding protein) and to some enzymes (epimerase, germin); localizes to the nucleus and cytoplasm",21,5193.570,6695.090,6261.350,4957.830,4733.360,7841.550,6228.530,3469.160,5988.340,7422.760
YDL045C,FAD1,"Flavin adenine dinucleotide (FAD) synthetase, performs the second step in synthesis of FAD from riboflavin",19,1642.400,3299.230,3168.070,1800.810,1686.430,3512.230,3608.270,1731.850,2850.080,3721.330
YMR116C,ASC1,G-protein beta subunit and guanine nucleotide dissociation inhibitor for Gpa2p; ortholog of RACK1 that inhibits translation; core component of the small (40S) ribosomal subunit; represses Gcn4p in the absence of amino acid starvation,223,53534.200,26588.400,27653.800,54012.000,52265.000,27904.500,25639.000,39136.700,32500.300,29199.200
YBR208C,"DUR1,2","Urea amidolyase, contains both urea carboxylase and allophanate hydrolase activities, degrades urea to CO2 and NH3; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation",40,9156.310,3727.540,3021.590,8281.910,4901.470,2845.010,9239.360,1958.860,3556.180,4486.530
YPL053C,KTR6,Probable mannosylphosphate transferase involved in the synthesis of core oligosaccharides in protein glycosylation pathway; member of the KRE2/MNT1 mannosyltransferase family,26,4230.170,1576.240,2886.160,4695.820,4357.970,1852.170,1896.020,1545.650,2877.260,4190.660
YJL024C,APS3,"Small subunit of the clathrin-associated adaptor complex AP-3, which is involved in vacuolar protein sorting; related to the sigma subunit of the mammalian clathrin AP-3 complex; suppressor of loss of casein kinase 1 function",6,1545.270,1229.620,1160.740,1476.240,1442.760,1354.000,1264.710,1177.310,1390.800,1350.070
YDR116C,MRPL1,Mitochondrial ribosomal protein of the large subunit,21,3041.670,5303.940,5021.620,3924.060,4599.710,5764.480,4357.590,8808.110,5383.040,6611.270
YGR231C,PHB2,"Subunit of the prohibitin complex (Phb1p-Phb2p), a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation",31,4079.890,7579.280,7962.180,4480.590,5327.700,7536.740,6808.470,10422.200,8148.060,7770.250
YDL130W,RPP1B,"Ribosomal protein P1 beta, component of the ribosomal stalk, which is involved in interaction of translational elongation factors with ribosome; accumulation is regulated by phosphorylation and interaction with the P2 stalk component",42,4153.980,4462.620,5134.870,7527.820,7324.060,4516.700,5093.930,8135.330,4174.470,5846.940
YDR272W,GLO2,"Cytoplasmic glyoxalase II, catalyzes the hydrolysis of S-D-lactoylglutathione into glutathione and D-lactate",32,5321.460,9450.000,4492.050,5421.980,5074.790,7675.190,6831.670,3431.860,4296.670,5994.580
YCL028W,RNQ1,"[PIN(+)] prion, an infectious protein conformation that is generally an ordered protein aggregate",27,2452.540,3705.810,4046.520,2398.600,2646.410,4012.740,3934.300,4648.560,4221.500,4260.140
