ORF,Tryp1 classic,Tryp2 classic,Tryp3 classic,Lys-C classic,Lys-N1 classic,Lys-N2 classic,Chym classic,Tryp1 velos,Tryp2 velos,Tryp3 velos,Lys-C velos,Lys-N1 velos,Lys-N2 velos,Chym velos,Trypsin,Lys-C,Lys-N,Chymotrypsin,Average of all data,Picotti et al (2009) ,Ghaemmaghami et al (2003),Newman et al (2006). ,"Lu et al, 2007",Tryp2 Velos analyzed with APEX
YDR382W,568213,631510,343265,1324645,1530073,1361091,100959,493916,478345,412898,1140489,947587,791079,39943,488024,1232567,1157457,70451,737125,n.d.,602000,8027.5,376209,136063
YOL039W,715118,393211,409259,1083971,1108030,746472,173030,341021,390509,374344,1140359,677858,383161,143759,437244,1112165,728880,158395,609171,n.d.,428000,103.5,107816,192020
YGR209C,786250,445702,314020,809638,510108,527019,99573,654154,435765,277109,865655,563795,542761,157578,485500,837647,535921,128576,496911,n.d.,17200,2033.5,22225,268824
YOL109W,498754,310212,314404,524043,586396,752225,0,650309,477564,283078,673534,623815,840296,8765,422387,598788,700683,4383,431560,n.d.,n.d.,n.d.,55926,190874
YDL081C,120278,158468,55437,519753,1429942,1317548,102275,92923,85079,111376,388667,766906,667824,70811,103927,454210,1045555,86543,422559,n.d.,n.d.,6605,637104,40656
YDR210W,0,0,0,0,0,0,347113,0,0,0,0,0,0,399113,0,0,0,373113,373113,n.d.,13100,159.5,n.d.,n.d.
YCR012W,400087,300509,412863,440078,425823,356102,141305,481005,443732,415778,564685,474455,444586,150450,408996,502382,425242,145878,370624,n.d.,314000,42839.5,1898620,344706
YKR057W,173083,197070,186141,0,1417192,937376,165346,480013,202868,127427,23836,1097756,396476,147187,227767,11918,962200,156266,339538,n.d.,27400,5398.5,7844,174385
YJL136C,172835,203347,174608,0,1415154,936029,165108,479323,198442,146607,23802,1096178,395906,146975,229194,11901,960817,156042,339488,370314,15300,6006,153186,4206
YLR043C,392037,284916,239756,486273,529891,416481,22066,388630,272946,194641,553105,511582,462325,68749,295487,519689,480070,45408,335163,n.d.,8580,962,75304,212034
YLR109W,176497,123924,158177,345136,448492,477932,440972,146844,113989,162425,303830,318554,334704,398315,146976,324483,394921,419643,321506,n.d.,16200,22181.5,607575,148580
YDR155C,193994,169340,192823,165966,287556,301093,605859,192785,171692,180079,140259,356678,258612,653528,183452,153112,300985,629694,316811,n.d.,86000,6004,301056,142338
YLR044C,295638,377906,453223,206177,164576,201094,292277,311899,364811,383699,197379,309080,261636,380397,364529,201778,234096,336337,284185,n.d.,8970,54803,1335789,428153
YKL060C,352424,444354,317731,234151,231397,179960,193971,397511,333012,337972,411889,221189,187055,231153,363834,323020,204900,212562,276079,996503,1020000,50570.5,2044661,441173
YEL034W,372350,284298,138120,240923,612227,663987,36214,255123,202756,148283,254507,379064,284995,103158,233488,247715,485069,69686,258989,n.d.,n.d.,n.d.,254037,200049
YGR192C,272646,440574,404452,383525,146557,118431,180317,253013,401837,464475,274567,160788,120498,132732,372833,329046,136569,156525,248743,n.d.,169000,n.d.,2003699,1241
YJR009C,287570,451844,409456,405457,146147,118100,141776,252306,407468,463930,309442,163513,123695,76954,378762,357450,137864,109365,245860,n.d.,121000,15357.5,944141,171232
YDL130W,70279,42010,56686,144945,714337,459521,127819,73089,75648,225240,299429,538793,172202,155156,90492,222187,471213,141488,231345,n.d.,22400,9142.5,16980,61430
YOR369C,248341,223448,188315,279827,100045,100811,240355,317486,297306,123892,311557,121379,139203,235354,233131,295692,115360,237854,220509,n.d.,n.d.,n.d.,140539,324657
YFL014W,713308,815813,409026,26447,20366,9528,21202,780175,579736,304777,317879,141140,113766,0,600472,172163,71200,10601,213609,n.d.,4490,83,n.d.,228226
YLR325C,127407,130558,112106,186856,337241,366039,0,150169,146284,146816,197392,225655,236827,0,135557,192124,291441,0,206374,n.d.,50200,2055,n.d.,343285
YOR045W,29251,0,0,112612,0,0,386909,24337,37783,0,81574,0,0,585508,15228,97093,0,486209,199510,n.d.,n.d.,n.d.,n.d.,60470
YKL056C,280023,263035,117330,242010,76239,71335,165354,345305,226063,109481,334677,167007,108159,111867,223540,288343,105685,138610,189045,n.d.,27800,6145.5,133025,206130
YLR061W,82124,51428,28102,127972,17390,8136,497876,85409,64826,88721,148441,54026,46259,531836,66768,138207,31453,514856,187821,n.d.,60400,10117,22983,80991
YMR173W,129727,126011,141495,238566,265261,250611,32173,170329,173674,177518,257512,315104,258950,76373,153126,248039,272481,54273,181980,n.d.,n.d.,201.5,7471,79124
YDR050C,94429,90791,127197,88480,208846,170468,185041,119301,88844,130980,104035,297327,371146,321202,108590,96257,261947,253121,179979,n.d.,207000,4768,677833,129247
YGL030W,123141,89732,110760,279929,187746,214710,130305,143433,95435,127710,259464,234301,238608,86995,115035,269697,218841,108650,178056,n.d.,59300,n.d.,n.d.,73716
YOL127W,231941,182828,209319,170083,287134,212105,62932,257297,163880,138777,180594,234742,209036,70025,197340,175339,235754,66479,168728,n.d.,n.d.,n.d.,75828,180439
YIL051C,123708,108657,131313,239748,187114,210096,163631,88221,98918,113703,229993,211055,207055,69362,110753,234870,203830,116496,166488,n.d.,168000,224.5,87790,102886
YBR016W,0,0,0,7052,0,0,500346,16003,5521,3694,11920,19466,13001,785104,4203,9486,8117,642725,166133,n.d.,1760,68.5,n.d.,16274
YIL053W,234729,139738,155396,180734,166158,143512,141934,172973,125609,133312,193262,309512,206260,75018,160293,186998,206360,108476,165532,n.d.,193000,9107,242484,117506
YBR011C,147971,130818,141263,284034,154825,127622,7675,231737,152405,163826,330840,202613,166697,6832,161336,307437,162939,7254,159742,n.d.,68400,1221,65041,136048
YAL005C,230055,204036,210713,140584,136746,153541,104992,242893,249659,226732,147572,195253,192786,74452,227348,144078,169582,89722,157682,n.d.,269000,32395,255901,65707
YPR133W-A,125266,96273,45926,327244,99472,74459,0,156330,141578,99240,232889,47542,84672,0,110769,280067,76536,0,155791,n.d.,n.d.,n.d.,n.d.,225990
YER009W,64840,48725,68463,64189,41191,38541,471705,43157,61418,44830,132602,55123,48210,366458,55239,98395,45766,419081,154620,n.d.,n.d.,n.d.,24612,116295
YJR104C,437399,339190,214973,123531,15020,14054,109457,432761,282490,245205,175826,25125,31963,125274,325336,149678,21540,117365,153480,n.d.,519000,4445,99893,232753
YLL024C,229326,196292,211281,135027,106263,141125,99922,236813,239877,207523,148806,175301,181452,85771,220185,141917,151035,92846,151496,n.d.,364000,37239.5,307754,57806
YLL050C,141447,124814,114089,252827,119810,133124,62365,147104,124341,154506,284888,146735,127479,55516,134383,268858,131787,58940,148492,n.d.,19600,n.d.,231000,110787
YNL079C,91561,65270,86403,170774,96100,127780,0,149044,119981,76838,231903,145044,188358,0,98183,201338,139321,0,146281,n.d.,3060,n.d.,17367,72578
YCR031C,348123,330307,177738,0,0,0,238761,412998,299775,144862,19976,86124,43576,265674,285634,9988,32425,252218,145066,n.d.,29600,n.d.,173035,n.d.
YNL096C,177600,124287,88935,162000,192626,133891,63026,172990,134285,99832,281867,144673,134686,66305,132988,221934,151469,64665,142764,n.d.,43500,3956,61936,113294
YAL038W,154629,205402,290260,143628,65488,104169,47724,177252,214527,350432,189524,133544,135875,54620,232084,166576,109769,51172,139900,n.d.,291000,11386.5,917330,206426
YBR109C,255558,218231,160132,185272,88553,75953,30730,246448,272582,153938,269956,84647,94222,20516,217815,227614,85844,25623,139224,n.d.,n.d.,1795,n.d.,171511
YBR085C-A,89683,74882,52608,219215,126606,154002,79083,66325,77227,54543,259364,114970,148181,129063,69211,239290,135940,104073,137128,n.d.,n.d.,593,n.d.,54064
YPL271W,152886,151919,171214,137592,17659,16523,165457,196582,149606,112113,129200,59080,65763,245476,155720,133396,39756,205467,133585,n.d.,4280,1437.5,n.d.,93130
