Systematic Name,Standard Name,Qualifier
YAL001C,TFC3,Verified
YAL002W,VPS8,Verified
YAL003W,EFB1,Verified
YAL005C,SSA1,Verified
YAL007C,ERP2,Verified
YAL008W,FUN14,Verified
YAL009W,SPO7,Verified
YAL010C,MDM10,Verified
YAL011W,SWC3,Verified
YAL012W,CYS3,Verified
YAL013W,DEP1,Verified
YAL014C,SYN8,Verified
YAL015C,NTG1,Verified
YAL016W,TPD3,Verified
YAL017W,PSK1,Verified
YAL018C,LDS1,Verified
YAL019W,FUN30,Verified
YAL020C,ATS1,Verified
YAL021C,CCR4,Verified
YAL022C,FUN26,Verified
YAL023C,PMT2,Verified
YAL024C,LTE1,Verified
YAL025C,MAK16,Verified
YAL026C,DRS2,Verified
YAL027W,SAW1,Verified
YAL028W,FRT2,Verified
YAL029C,MYO4,Verified
YAL030W,SNC1,Verified
YAL031C,GIP4,Verified
YAL032C,PRP45,Verified
YAL033W,POP5,Verified
YAL034W-A,MTW1,Verified
YAL035W,FUN12,Verified
YAL036C,RBG1,Verified
YAL037W,,Uncharacterized
YAL038W,CDC19,Verified
YAL039C,CYC3,Verified
YAL040C,CLN3,Verified
YAL041W,CDC24,Verified
YAL042W,ERV46,Verified
YAL043C,PTA1,Verified
YAL044C,GCV3,Verified
YAL045C,,Dubious
YAL046C,BOL3,Verified
YAL047C,SPC72,Verified
YAL048C,GEM1,Verified
YAL049C,AIM2,Verified
YAL051W,OAF1,Verified
YAL053W,FLC2,Verified
YAL054C,ACS1,Verified
YAL055W,PEX22,Verified
YAL056W,GPB2,Verified
YAL058W,CNE1,Verified
YAL059W,ECM1,Verified
YAL060W,BDH1,Verified
YAL061W,BDH2,Uncharacterized
YAL062W,GDH3,Verified
YAL063C,FLO9,Verified
YAL064W,,Verified
YAL066W,,Dubious
YAL067C,SEO1,Verified
YAR002W,NUP60,Verified
YAR003W,SWD1,Verified
YAR007C,RFA1,Verified
YAR008W,SEN34,Verified
YAR014C,BUD14,Verified
YAR015W,ADE1,Verified
YAR018C,KIN3,Verified
YAR019C,CDC15,Verified
YAR020C,PAU7,Verified
YAR023C,,Uncharacterized
YAR027W,UIP3,Verified
YAR028W,,Uncharacterized
YAR029W,,Uncharacterized
YAR031W,PRM9,Verified
YAR033W,MST28,Verified
YAR035W,YAT1,Verified
YAR042W,SWH1,Verified
YAR047C,,Dubious
YAR050W,FLO1,Verified
YAR053W,,Dubious
YAR060C,,Dubious
YAR064W,,Uncharacterized
YAR068W,,Uncharacterized
YAR069C,,Dubious
YAR070C,,Dubious
YAR071W,PHO11,Verified
YAR073W,IMD1,Dubious
YBL001C,ECM15,Verified
YBL002W,HTB2,Verified
YBL003C,HTA2,Verified
YBL004W,UTP20,Verified
YBL005W,PDR3,Verified
YBL006C,LDB7,Verified
YBL007C,SLA1,Verified
YBL008W,HIR1,Verified
YBL009W,ALK2,Verified
YBL010C,,Uncharacterized
YBL011W,SCT1,Verified
YBL012C,,Dubious
YBL013W,FMT1,Verified
YBL014C,RRN6,Verified
YBL015W,ACH1,Verified
YBL016W,FUS3,Verified
YBL017C,PEP1,Verified
YBL018C,POP8,Verified
YBL019W,APN2,Verified
YBL020W,RFT1,Verified
YBL021C,HAP3,Verified
YBL022C,PIM1,Verified
YBL023C,MCM2,Verified
YBL024W,NCL1,Verified
YBL025W,RRN10,Verified
YBL026W,LSM2,Verified
YBL027W,RPL19B,Verified
YBL028C,,Verified
YBL029W,,Uncharacterized
YBL030C,PET9,Verified
YBL031W,SHE1,Verified
YBL032W,HEK2,Verified
YBL033C,RIB1,Verified
YBL034C,STU1,Verified
YBL035C,POL12,Verified
YBL036C,,Verified
YBL037W,APL3,Verified
YBL038W,MRPL16,Verified
YBL039C,URA7,Verified
YBL040C,ERD2,Verified
YBL041W,PRE7,Verified
YBL042C,FUI1,Verified
YBL043W,ECM13,Verified
YBL044W,,Uncharacterized
YBL045C,COR1,Verified
YBL046W,PSY4,Verified
YBL047C,EDE1,Verified
YBL048W,RRT1,Dubious
YBL049W,MOH1,Verified
YBL050W,SEC17,Verified
YBL051C,PIN4,Verified
YBL052C,SAS3,Verified
YBL053W,,Dubious
YBL054W,TOD6,Verified
YBL055C,,Verified
YBL056W,PTC3,Verified
YBL057C,PTH2,Verified
YBL058W,SHP1,Verified
YBL059W,,Uncharacterized
YBL060W,YEL1,Verified
YBL061C,SKT5,Verified
YBL062W,,Dubious
YBL063W,KIP1,Verified
YBL064C,PRX1,Verified
YBL065W,,Dubious
YBL066C,SEF1,Verified
YBL067C,UBP13,Verified
YBL068W,PRS4,Verified
YBL069W,AST1,Verified
YBL070C,,Dubious
YBL071C,,Uncharacterized
YBL072C,RPS8A,Verified
YBL073W,,Dubious
YBL074C,AAR2,Verified
YBL075C,SSA3,Verified
YBL076C,ILS1,Verified
YBL077W,,Dubious
YBL078C,ATG8,Verified
YBL079W,NUP170,Verified
YBL080C,PET112,Verified
YBL081W,,Uncharacterized
YBL082C,ALG3,Verified
YBL083C,,Dubious
YBL084C,CDC27,Verified
YBL085W,BOI1,Verified
YBL086C,,Uncharacterized
YBL087C,RPL23A,Verified
YBL088C,TEL1,Verified
YBL089W,AVT5,Verified
YBL090W,MRP21,Verified
YBL091C,MAP2,Verified
YBL092W,RPL32,Verified
YBL093C,ROX3,Verified
YBL094C,,Dubious
YBL095W,MRX3,Uncharacterized
YBL096C,,Dubious
YBL097W,BRN1,Verified
YBL098W,BNA4,Verified
YBL099W,ATP1,Verified
YBL100C,,Dubious
YBL101C,ECM21,Verified
YBL102W,SFT2,Verified
YBL103C,RTG3,Verified
YBL104C,SEA4,Verified
YBL105C,PKC1,Verified
YBL106C,SRO77,Verified
YBL107C,MIX23,Verified
YBL108W,,Dubious
YBR001C,NTH2,Verified
YBR002C,RER2,Verified
YBR003W,COQ1,Verified
YBR004C,GPI18,Verified
YBR005W,RCR1,Verified
YBR006W,UGA2,Verified
YBR007C,DSF2,Verified
