ORF,CommName,Fold,Cont-mean-Int,Cont-SD-Int,MMS-mean-Int,MMS-SD-Int,Localization,Function
YML058W-A,HUG1,7.63,12.63,11.91,96.32,28.4,cytoplasm,"Protein involved in the Mec1p-mediated checkpoint pathway that responds to DNA damage or replication arrest, transcription is induced by DNA damage"
YIL066C,RNR3,7.15,5.94,1.1,42.5,3.14,cytoplasm,"Minor isoform of the large subunit of ribonucleotide-diphosphate reductase; the RNR complex catalyzes rate-limiting step in dNTP synthesis, regulated by DNA replication and DNA damage checkpoint pathways via localization of small subunits"
YDR025W,RPS11A,6.66,2.74,1.62,18.21,1.03,cytoplasm,Protein component of the small (40S) ribosomal subunit; identical to Rps11Bp and has similarity to E. coli S17 and rat S11 ribosomal proteins
YOL115W,TRF4,5.18,4.88,4.04,25.26,6.03,nucleus,"Non-canonical poly(A) polymerase, involved in nuclear RNA degradation as a component of the TRAMP complex; catalyzes polyadenylation of hypomodified tRNAs, and snoRNA and rRNA precursors; overlapping but non-redundant functions with Trf5p"
YBR126C,TPS1,4.12,78.18,21.84,322.05,45.36,cytoplasm,"Synthase subunit of trehalose-6-phosphate synthase/phosphatase complex, which synthesizes the storage carbohydrate trehalose; also found in a monomeric form; expression is induced by the stress response and repressed by the Ras-cAMP pathway"
YER103W,SSA4,4.02,55.68,18.28,223.84,98.5,cytoplasm,Heat shock protein that is highly induced upon stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the HSP70 family; cytoplasmic protein that concentrates in nuclei upon starvation
YIL019W,FAF1,3.96,2.65,5.45,10.49,0.55,"cytoplasm,nucleus",Protein required for pre-rRNA processing and 40S ribosomal subunit assembly
YGR180C,RNR4,3.93,279.45,65.02,1099.14,98.56,"cytoplasm,nucleus","Ribonucleotide-diphosphate reductase (RNR), small subunit; the RNR complex catalyzes the rate-limiting step in dNTP synthesis and is regulated by DNA replication and DNA damage checkpoint pathways via localization of the small subunits"
YGR013W,SNU71,3.7,5.62,4.3,20.8,4.75,"cytoplasm,nucleus","Component of U1 snRNP required for mRNA splicing via spliceosome; yeast specific, no metazoan counterpart"
YGR219W,,3.6,32.94,5.28,118.63,35.87,"cytoplasm,nucleus","Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF MRPL9/YGR220C"
YDR533C,HSP31,3.49,24.76,3.74,86.45,18.54,"cytoplasm,nucleus","Possible chaperone and cysteine protease with similarity to E. coli Hsp31; member of the DJ-1/ThiJ/PfpI superfamily, which includes human DJ-1 involved in Parkinson's disease; exists as a dimer and contains a putative metal-binding site"
YDR144C,MKC7,3.4,7.67,4.79,26.09,0,vacuole,"GPI-anchored aspartyl protease, member of the yapsin family of proteases involved in cell wall growth and maintenance; shares functions with Yap3p and Kex2p"
YFL014W,HSP12,3.39,277.37,192.56,940.51,70.76,"cytoplasm,nucleus","Plasma membrane protein involved in maintaining membrane organization in stress conditions; induced by heat shock, oxidative stress, osmostress, stationary phase, glucose depletion, oleate and alcohol; regulated by HOG and Ras-Pka pathways"
YNL218W,MGS1,3.36,5.15,6.4,17.33,0,"cytoplasm,nucleus",Protein with DNA-dependent ATPase and ssDNA annealing activities involved in maintenance of genome; interacts functionally with DNA polymerase delta; homolog of human Werner helicase interacting protein (WHIP)
YGR234W,YHB1,3.32,50.44,8.91,167.45,27.27,cytoplasm,"Nitric oxide oxidoreductase, flavohemoglobin involved in nitric oxide detoxification; plays a role in the oxidative and nitrosative stress responses"
YHR179W,OYE2,3.16,74.78,5.82,236.38,83.2,"cytoplasm,nucleus","Conserved NADPH oxidoreductase containing flavin mononucleotide (FMN), homologous to Oye3p with different ligand binding and catalytic properties; may be involved in sterol metabolism, oxidative stress response, and programmed cell death"
YFR053C,HXK1,3.15,185.16,8.07,583.96,58.05,cytoplasm,"Hexokinase isoenzyme 1, a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves the hexokinase Hxk2p"
YLR060W,FRS1,3.07,67.76,12.96,208.35,0,cytoplasm,"Beta subunit of cytoplasmic phenylalanyl-tRNA synthetase, forms a tetramer with Frs2p to generate active enzyme; able to hydrolyze mis-aminoacylated tRNA-Phe, which could contribute to translational quality control"
YLR134W,PDC5,3.06,6.32,3.2,19.31,5.63,"cytoplasm,nucleus","Minor isoform of pyruvate decarboxylase, key enzyme in alcoholic fermentation, decarboxylates pyruvate to acetaldehyde, regulation is glucose- and ethanol-dependent, repressed by thiamine, involved in amino acid catabolism"
YBR072W,HSP26,3.05,27.18,7.5,82.82,5.04,ambiguous,"Small heat shock protein (sHSP) with chaperone activity; forms hollow, sphere-shaped oligomers that suppress unfolded proteins aggregation; oligomer activation requires heat-induced conformational change; also has mRNA binding activity"
YKL103C,LAP4,2.97,21.55,4.52,63.91,4.24,"cytoplasm,punctate composite",Vacuolar aminopeptidase yscI; zinc metalloproteinase that belongs to the peptidase family M18; often used as a marker protein in studies of autophagy and cytosol to vacuole targeting (CVT) pathway
YDR184C,ATC1,2.96,6.41,1.47,18.95,11.37,"cytoplasm,nucleus","Nuclear protein, possibly involved in regulation of cation stress responses and/or in the establishment of bipolar budding pattern"
YHR087W,,2.95,124.34,16.27,366.46,37.95,"cytoplasm,nucleus","Protein of unknown function involved in RNA metabolism; has structural similarity to SBDS, the human protein mutated in Shwachman-Diamond Syndrome (the yeast SBDS ortholog = SDO1); null mutation suppresses cdc13-1 temperature sensitivity"
YMR168C,CEP3,2.95,5.66,4.2,16.7,4.6,microtubule,"Essential kinetochore protein, component of the CBF3 complex that binds the CDEIII region of the centromere; contains an N-terminal Zn2Cys6 type zinc finger domain, a C-terminal acidic domain, and a putative coiled coil dimerization domain"
YMR173W,DDR48,2.93,30.37,1.06,88.85,10.41,cytoplasm,"DNA damage-responsive protein, expression is increased in response to heat-shock stress or treatments that produce DNA lesions; contains multiple repeats of the amino acid sequence NNNDSYGS"
YLL039C,UBI4,2.89,20.95,1.44,60.61,4.02,"cytoplasm,nucleus","Ubiquitin, becomes conjugated to proteins, marking them for selective degradation via the ubiquitin-26S proteasome system; essential for the cellular stress response; encoded as a polyubiquitin precursor comprised of 5 head-to-tail repeats"
YIL092W,,2.88,2.31,0.73,6.65,6.41,"cytoplasm,nucleus",Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus
YKR084C,HBS1,2.87,12.86,3.55,36.91,0,cytoplasm,"GTPase with similarity to translation release factors; together with binding partner Dom34p, facilitates ribosomal subunit dissociation and peptidyl-tRNA release when translation is stalled; genetically implicated in mRNA no-go decay"
YDL025C,,2.83,11.03,4.66,31.22,7.45,ambiguous,"Putative protein kinase, potentially phosphorylated by Cdc28p; interacts with ribosome biogenesis factors, Cka2, Gus1 and Arc1"
YNL134C,,2.83,73.35,24.83,207.86,64.11,"cytoplasm,nucleus",Putative protein of unknown function with similarity to dehydrogenases from other model organisms; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and nucleus and is induced by the DNA-damaging agent MMS
YOL148C,SPT20,2.81,8.87,5.07,24.93,0,nucleus,Subunit of the SAGA transcriptional regulatory complex; involved in maintaining the integrity of the complex; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay
YML057W,CMP2,2.73,14.8,3.58,40.36,3.65,cytoplasm,"Calcineurin A; one isoform (the other is CNA1) of the catalytic subunit of calcineurin, a Ca++/calmodulin-regulated protein phosphatase which regulates Crz1p (a stress-response transcription factor), the other calcineurin subunit is CNB1"
YDL189W,RBS1,2.68,9.16,2.44,24.52,25.46,"cytoplasm,punctate composite","Protein of unknown function, identified as a high copy suppressor of psk1 psk2 mutations that confer temperature-sensitivity for galactose utilization; proposed to bind single-stranded nucleic acids via its R3H domain"
YDR453C,TSA2,2.67,17.24,2.01,45.95,11.41,cytoplasm,"Stress inducible cytoplasmic thioredoxin peroxidase; cooperates with Tsa1p in the removal of reactive oxygen, nitrogen and sulfur species using thioredoxin as hydrogen donor; deletion enhances the mutator phenotype of tsa1 mutants"
YLR032W,RAD5,2.65,5.32,1.33,14.1,10.92,"cytoplasm,nucleus",DNA helicase proposed to promote replication fork regression during postreplication repair by template switching; RING finger containing ubiquitin ligase; stimulates the synthesis of free and PCNA-bound polyubiquitin chains by Ubc13p-Mms2p
YGR209C,TRX2,2.6,96.9,0.27,252.39,27.29,"cytoplasm,nucleus","Cytoplasmic thioredoxin isoenzyme of the thioredoxin system which protects cells against oxidative and reductive stress, forms LMA1 complex with Pbi2p, acts as a cofactor for Tsa1p, required for ER-Golgi transport and vacuole inheritance"
YMR169C,ALD3,2.59,18.13,5.37,46.94,4.98,cytoplasm,"Cytoplasmic aldehyde dehydrogenase, involved in beta-alanine synthesis; uses NAD+ as the preferred coenzyme; very similar to Ald2p; expression is induced by stress and repressed by glucose"
YBL034C,STU1,2.56,6.01,1.74,15.35,4.21,"ambiguous,spindle pole",Component of the mitotic spindle that binds to interpolar microtubules via its association with beta-tubulin (Tub2p); required for interpolar microtubules to provide an outward force on the spindle poles
YLR212C,TUB4,2.56,23.01,2.61,59,3.21,spindle pole,"Gamma-tubulin, involved in nucleating microtubules from both the cytoplasmic and nuclear faces of the spindle pole body"
YLR109W,AHP1,2.52,432.81,58.57,1092.37,158.86,"cytoplasm,nucleus","Thiol-specific peroxiredoxin, reduces hydroperoxides to protect against oxidative damage; function in vivo requires covalent conjugation to Urm1p"
YDL215C,GDH2,2.51,12.62,2.25,31.63,11.96,cytoplasm,"NAD(+)-dependent glutamate dehydrogenase, degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels"
YBR030W,,2.49,4.39,1.3,10.93,4.77,nucleus,Ribosomal lysine methyltransferase specific for monomethylation of Rpl42ap and Rpl42bp (lysine 40); nuclear SET domain containing protein
YBR085C-A,,2.48,70.37,5.34,174.45,9.68,"cytoplasm,nucleus",Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus
YDR001C,NTH1,2.48,13.96,1.75,34.55,11.09,cytoplasm,"Neutral trehalase, degrades trehalose; required for thermotolerance and may mediate resistance to other cellular stresses; may be phosphorylated by Cdc28p"
YMR105C,PGM2,2.48,233.84,33.09,578.81,46.98,"cytoplasm,nucleus","Phosphoglucomutase, catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate, which is a key step in hexose metabolism; functions as the acceptor for a Glc-phosphotransferase"
YNL312W,RFA2,2.47,25.97,4.48,64.1,8.33,nucleus,"Subunit of heterotrimeric Replication Protein A (RPA), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination"
YDL130W-A,STF1,2.45,24.27,1.69,59.52,8.06,mitochondrion,Protein involved in regulation of the mitochondrial F1F0-ATP synthase; Stf1p and Stf2p may act as stabilizing factors that enhance inhibitory action of the Inh1p protein
YIL101C,XBP1,2.45,4.9,2.22,12.03,5.81,nucleus,"Transcriptional repressor that binds to promoter sequences of the cyclin genes, CYS3, and SMF2; expression is induced by stress or starvation during mitosis, and late in meiosis; member of the Swi4p/Mbp1p family; potential Cdc28p substrate"
YDL022W,GPD1,2.44,139.52,17.93,340.69,87.53,peroxisome,"NAD-dependent glycerol-3-phosphate dehydrogenase, key enzyme of glycerol synthesis, essential for growth under osmotic stress; expression regulated by high-osmolarity glycerol response pathway; homolog of Gpd2p"
YOR025W,HST3,2.44,3.17,6.94,7.72,0.74,nucleus,"Member of the Sir2 family of NAD(+)-dependent protein deacetylases; involved along with Hst4p in telomeric silencing, cell cycle progression, radiation resistance, genomic stability and short-chain fatty acid metabolism"
YDR381W,YRA1,2.42,47.27,1.13,114.37,22.55,nucleus,"RNA binding protein required for export of poly(A)+ mRNA from the nucleus; proposed to couple mRNA export with 3' end processing via its interactions with Mex67p and Pcf11p; functionally redundant with Yra2p, another REF family member"
YGL076C,RPL7A,2.41,116.16,19.76,279.53,14.13,cytoplasm,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl7Bp and has similarity to E. coli L30 and rat L7 ribosomal proteins; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2)"
YLL054C,,2.41,5.01,1.73,12.07,2.92,cytoplasm,"Putative protein of unknown function with similarity to Pip2p, an oleate-specific transcriptional activator of peroxisome proliferation; YLL054C is not an essential gene"
YER013W,PRP22,2.4,5.86,1.75,14.05,10.24,"cytoplasm,nucleus","DEAH-box RNA-dependent ATPase/ATP-dependent RNA helicase, associates with lariat intermediates before the second catalytic step of splicing; mediates ATP-dependent mRNA release from the spliceosome and unwinds RNA duplexes"
YBL075C,SSA3,2.39,4.21,1.54,10.07,3.8,cytoplasm,ATPase involved in protein folding and the response to stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the heat shock protein 70 (HSP70) family; localized to the cytoplasm
YHL021C,FMP12,2.39,15.43,2.94,36.84,4.04,mitochondrion,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss"
YML127W,RSC9,2.39,7.95,1.3,19.03,1.6,nucleus,Component of the RSC chromatin remodeling complex; DNA-binding protein involved in the synthesis of rRNA and in transcriptional repression and activation of genes regulated by the Target of Rapamycin (TOR) pathway
YBR089C-A,NHP6B,2.31,28.66,9.73,66.15,44.85,nucleus,High-mobility group (HMG) protein that binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to the chromosomes; functionally redundant with Nhp6Ap; homologous to mammalian HMGB1 and HMGB2
