Systematic ORF,,Control,,MMS,MMS ratio log2,,HU,HU ratio log2,,NA = not available
YAL001C,,0.51983091,,0.685213979,0.398512162,,0.639256476,0.298352448,,
YAL002W,,0.415906039,,0.586961396,0.497007987,,0.508454359,0.289860642,,
YAL005C,,46.87936179,,82.81039041,0.820858868,,73.7879593,0.654432488,,
YAL007C,,1.669414202,,2.535968162,0.603194684,,1.980145377,0.246264403,,
YAL008W,,0.313030285,,0.446292839,0.511688417,,0.437155195,0.481843303,,
YAL009W,,0.392457315,,0.490402376,0.32143022,,0.478368661,0.28558713,,
YAL010C,,NA,,NA,NA,,NA,NA,,
YAL011W,,0.504267016,,0.578705011,0.198640275,,0.564252867,0.162153983,,
YAL012W,,6.109400183,,16.06574161,1.394884929,,6.554186386,0.101385957,,
YAL014C,,0.543384771,,0.629180487,0.211499797,,0.607880422,0.161813424,,
YAL015C,,0.439595742,,0.514749896,0.22769422,,0.494216786,0.168966598,,
YAL016W,,2.635913707,,4.398859483,0.738826376,,3.200672015,0.280071705,,
YAL017W,,0.622779754,,0.810035959,0.379263907,,0.823942065,0.403820853,,
YAL019W,,1.140993088,,1.675483365,0.55428731,,1.341312562,0.233355411,,
YAL021C,,1.331787281,,2.024832148,0.604438652,,1.789870722,0.426491722,,
YAL023C,,0.767020368,,0.886880527,0.209474881,,0.878703591,0.196111702,,
YAL024C,,0.663790318,,0.690382798,0.056668931,,0.678134276,0.03084338,,
YAL026C,,0.915802767,,1.224175016,0.418701001,,1.207977006,0.399484164,,
YAL027W,,0.43699451,,0.51651921,0.241206848,,0.521790261,0.25585486,,
YAL029C,,0.794346738,,1.032711693,0.37859675,,0.902058792,0.183452573,,
YAL031C,,0.469522689,,0.675443376,0.524639953,,0.525794815,0.163305039,,
YAL032C,,0.715339267,,1.012908011,0.501803618,,0.85472466,0.25683211,,
YAL033W,,1.807417021,,2.303121416,0.349661055,,1.916543299,0.084577178,,
YAL034W-A,,0.498974007,,0.562321219,0.172429826,,0.597755961,0.26059195,,
YAL035W,,6.480440497,,12.23374268,0.91670205,,8.300433774,0.357094852,,
YAL036C,,1.69429524,,2.466840998,0.541979435,,1.706325856,0.01020789,,
YAL038W,,12.66409043,,24.06026716,0.925909199,,31.30545306,1.305670518,,
YAL039C,,0.576792518,,0.878591208,0.607139613,,0.742798431,0.364918318,,
YAL041W,,1.071271505,,1.258660766,0.303734703,,1.031646407,0.016793778,,
YAL043C,,0.742676941,,1.222604061,0.719150573,,0.779816462,0.070399827,,
YAL044C,,7.565330353,,10.33229914,0.449686331,,7.862853669,0.055649923,,
YAL047C,,0.436531612,,0.482906365,0.145657345,,0.490944728,0.169474478,,
YAL049C,,0.41323387,,0.444478788,0.10515606,,0.399035974,-0.050439692,,
YAL053W,,0.540783407,,0.676477288,0.322990613,,0.644431196,0.252975449,,
YAL054C,,0.338336778,,0.466294701,0.462782025,,0.457566317,0.435520845,,
YAL055W,,0.350775797,,0.446459235,0.347979248,,0.424459319,0.275077084,,
YAL056W,,0.618182199,,0.731490517,0.294477344,,0.685963952,0.201770947,,
YAL058W,,0.457137024,,0.556924439,0.284854933,,0.562162186,0.298359744,,
YAL059W,,1.044591196,,1.330358135,0.348876224,,0.965741943,-0.113228807,,
YAL060W,,5.40820334,,9.526720997,0.816830342,,10.11644549,0.903481174,,
YAL061W,,0.442274591,,0.502039807,0.1828594,,0.623522146,0.495498441,,
YAR002C-A,,1.983416387,,2.897315421,0.546729174,,1.879794204,-0.077412854,,
YAR002W,,1.456506514,,1.994699133,0.453659003,,1.620065523,0.15354001,,
YAR003W,,0.535835034,,0.607244788,0.180489291,,0.626151481,0.224722811,,
YAR007C,,1.96856397,,3.136654426,0.672082998,,2.449042987,0.315074502,,
