ORF,Gene,SWAT GFP localization,mCherry localization,Seamless GFP localization,"C' GFP localization (Won-Ki H. et. al. 2003)",SWAT GFP intensity median (a.u.),Seamless GFP intensity median (a.u.),Library tybe
YAL002W,VPS8,punctate,punctate,punctate,punctate,73.2,10.3,SWAT-GFP
YAL005C,SSA1,cytosol,cytosol,cytosol,cytosol,203.0,257.1,SWAT-GFP
YAL007C,ERP2,"ER,punctate","ER,vacuole,punctate",punctate,ER,118.3,43.0,SWAT-SP-GFP
YAL008W,FUN14,ER,vacuole,ambigous,mitochondria,38.2,10.1,SWAT-GFP
YAL009W,SPO7,ER,ER,ER,nucleus,40.1,10.7,SWAT-GFP
YAL010C,MDM10,mitochondria,0,0,mitochondria,N/D,N/D,SWAT-GFP
YAL014C,SYN8,punctate,"punctate,vacuole",below threshold,"nucleus,cytosol",91.6,13.5,SWAT-GFP
YAL018C,LDS1,punctate,0,0,below threshold,N/D,N/D,SWAT-GFP
YAL022C,FUN26,"punctate,vacuole membrane",vacuole membrane,"punctate,vacuole membrane",0,69.3,22.1,SWAT-GFP
YAL023C,PMT2,ER,ER,below threshold,ER,101.0,10.6,SWAT-GFP
YAL026C,DRS2,"ER,punctate",ER,punctate,"punctate,punctate",61.5,15.8,SWAT-GFP
YAL028W,FRT2,"ambigous,ER",vacuole,below threshold,0,25.4,8.8,SWAT-GFP
YAL030W,SNC1,"cell periphery,bud","cell periphery,bud",bud,0,102.7,17.7,SWAT-GFP
YAL035W,FUN12,cytosol,cytosol,cytosol,cytosol,151.3,89.4,SWAT-GFP
YAL040C,CLN3,below threshold,below threshold,below threshold,0,14.0,9.8,SWAT-GFP
YAL042W,ERV46,ER,0,ER,below threshold,69.5,28.9,SWAT-GFP
YAL048C,GEM1,mitochondria,0,0,0,N/D,N/D,SWAT-GFP
YAL053W,FLC2,ER,vacuole,ambigous,"ambiguous,neck,cell periphery,bud,punctate,punctate,bud neck",46.2,14.3,SWAT-SP-GFP
YAL058W,CNE1,ER,ER,ambigous,ER,62.8,17.1,SWAT-SP-GFP
YAL063C,FLO9,cell periphery,below threshold,below threshold,0,0.0,11.9,SWAT-SP-GFP
YAL064W-B,YAL064W-B,ER,ER,below threshold,below threshold,21.7,8.3,SWAT-GFP
YAL065C,YAL065C,below threshold,below threshold,below threshold,below threshold,29.5,9.1,SWAT-GFP
YAL067C,SEO1,cell periphery,"cell periphery,vacuole",below threshold,below threshold,45.6,9.0,SWAT-GFP
YAR002C-A,ERP1,"punctate,vacuole membrane","punctate,vacuole",punctate,vacuole membrane,89.4,51.0,SWAT-SP-GFP
YAR027W,UIP3,"punctate,vacuole membrane",vacuole membrane,"punctate,vacuole",ambiguous,85.6,10.4,SWAT-GFP
YAR028W,YAR028W,"punctate,vacuole membrane",vacuole membrane,below threshold,ambiguous,71.6,9.5,SWAT-GFP
YAR031W,PRM9,"ER,punctate","ER,punctate",below threshold,below threshold,37.7,10.9,SWAT-GFP
YAR033W,MST28,ER,ER,below threshold,below threshold,74.7,8.5,SWAT-GFP
YAR042W,SWH1,punctate,punctate,below threshold,below threshold,42.7,10.4,SWAT-GFP
YAR050W,FLO1,cell periphery,below threshold,cell periphery,0,37.8,12.0,SWAT-SP-GFP
YAR066W,YAR066W,ER,vacuole,below threshold,0,24.2,12.7,SWAT-SP-GFP
YAR071W,PHO11,"cell periphery,ER","cell periphery,vacuole",below threshold,vacuole,47.8,13.2,SWAT-SP-GFP
YBL001C,ECM15,cytosol,cytosol,cytosol,"nucleus,cytosol",278.3,43.8,SWAT-GFP
YBL007C,SLA1,"punctate,bud neck","punctate,bud neck","punctate,bud neck","cytosol,punctate",115.9,28.5,SWAT-GFP
YBL010C,YBL010C,punctate,punctate,punctate,punctate,37.3,13.3,SWAT-GFP
YBL011W,SCT1,ER,ER,ER,ER,56.1,15.9,SWAT-GFP
YBL017C,PEP1,"vacuole,punctate",vacuole,punctate,"punctate,punctate",59.5,24.0,SWAT-SP-GFP
YBL020W,RFT1,"ER,punctate","ER,vacuole",punctate,0,54.8,15.5,SWAT-GFP
YBL037W,APL3,"punctate,bud neck","punctate,bud neck","cell periphery,bud neck","bud neck,cell periphery",42.2,15.8,SWAT-GFP
YBL039C,URA7,"ER,vacuole",vacuole,cytosol,cytosol,49.3,72.2,SWAT-SP-GFP
YBL039W-B,YBL039W-B,punctate,"punctate,vacuole",punctate,0,40.5,9.9,SWAT-GFP
YBL041W,PRE7,"cytosol,nucleus",cytosol,"cytosol,nucleus",0,106.5,11.3,SWAT-GFP
YBL042C,FUI1,"cell periphery,vacuole","cell periphery,vacuole",cell periphery,"cell periphery,bud",N/D,N/D,SWAT-GFP
YBL047C,EDE1,"punctate,bud neck","punctate,bud neck","punctate,bud neck",punctate,116.4,28.9,SWAT-GFP
YBL050W,SEC17,"punctate,vacuole membrane",vacuole membrane,punctate,below threshold,44.1,0.0,SWAT-GFP
YBL058W,SHP1,"cytosol,nucleus","cytosol,nucleus",below threshold,"nucleus,cytosol",99.5,12.2,SWAT-GFP
YBL059W,YBL059W,mitochondria,mitochondria,"below threshold,mitochondria",mitochondria,28.3,9.8,SWAT-GFP
YBL061C,SKT5,bud neck,bud neck,bud neck,"bud neck,nucleus,cytosol",40.0,21.4,SWAT-GFP
YBL069W,AST1,punctate,punctate,punctate,"nucleus,cytosol",83.3,20.1,SWAT-GFP
YBL078C,ATG8,"cytosol,punctate",cytosol,"cytosol,punctate",below threshold,73.2,17.4,SWAT-GFP
YBL082C,ALG3,ER,ER,ER,"vacuole,cytosol",110.1,13.3,SWAT-GFP
YBL089W,AVT5,punctate,punctate,below threshold,below threshold,31.6,10.8,SWAT-GFP
YBL091C-A,SCS22,cytosol,cytosol,ambigous,0,75.2,13.6,SWAT-GFP
YBL095W,MRX3,ER,vacuole,below threshold,mitochondria,22.3,13.6,SWAT-SP-GFP
YBL100C,YBL100C,ER,0,0,0,N/D,N/D,SWAT-GFP
YBL101C,ECM21,cytosol,cytosol,below threshold,cytosol,50.5,10.4,SWAT-GFP
YBL102W,SFT2,punctate,"punctate,vacuole",punctate,punctate,104.3,24.2,SWAT-GFP
YBL105C,PKC1,bud neck,bud neck,bud neck,"ambiguous,neck,bud,cytosol,bud neck",52.1,16.0,SWAT-GFP
YBL106C,SRO77,"punctate,bud neck","punctate,bud neck",punctate,below threshold,51.8,13.3,SWAT-GFP
YBL108C-A,PAU9,ER,vacuole,below threshold,below threshold,27.2,11.8,SWAT-SP-GFP
YBR002C,RER2,"ER,punctate","ER,punctate","ER,punctate",ER,25.2,16.0,SWAT-GFP
YBR004C,GPI18,ER,ER,ER,0,50.1,14.2,SWAT-GFP
YBR005W,RCR1,ER,vacuole,below threshold,cytosol,37.9,12.6,SWAT-GFP
YBR008C,FLR1,cell periphery,"cell periphery,vacuole",below threshold,"cell periphery,vacuole",60.2,10.7,SWAT-GFP
YBR013C,YBR013C,ER,"ER,vacuole",below threshold,below threshold,83.1,11.7,SWAT-SP-GFP
YBR015C,MNN2,ER,vacuole,punctate,punctate,37.1,44.0,SWAT-SP-GFP
