Plate,Well,ID2,ID3,AVG Events,Events SD,AVG Mean,AVG SD,AVD Median
1,A1,YLR106C,96_wellA1,1304.00,107.72,7.10,2.47,7.07
1,A13,YHR023W,96_wellA4,2988.00,514.17,5.53,2.43,5.20
1,A17,YJL109C,96_wellA5,3853.33,101.32,12.70,5.37,12.20
1,A21,YKR031C,96_wellA6,2401.33,307.61,5.07,2.13,4.80
1,A5,YFR019W,96_wellA2,3371.67,90.69,4.10,1.73,3.93
1,A9,YDL171C,96_wellA3,2956.33,650.04,16.33,7.03,15.37
1,B1,YNL297C,96_wellA7,2665.67,333.82,6.37,2.47,6.10
1,B13,YJL095W,96_wellA10,3070.67,359.43,3.80,1.83,3.50
1,B17,YJR137C,96_wellA11,3128.67,876.86,4.47,2.30,4.10
1,B21,YCR081W,96_wellA12,3941.00,367.64,3.23,2.00,2.93
1,B5,YOR326W,96_wellA8,2552.67,240.34,15.13,6.00,14.73
1,B9,YKL101W,96_wellA9,3445.33,1433.82,3.97,1.83,3.73
1,C1,YKR054C,96_wellB1,2972.67,421.84,4.13,1.93,3.83
1,C13,YBR275C,96_wellB4,2331.00,538.01,3.93,1.70,3.73
1,C17,YKL014C,96_wellB5,2491.67,340.03,7.53,3.10,7.23
1,C21,YML059C,96_wellB6,2171.33,261.64,5.87,2.60,5.60
1,C5,YNR016C,96_wellB2,3450.00,487.99,29.07,12.77,27.07
1,C9,YMR207C,96_wellB3,2923.00,684.15,3.93,1.90,3.67
1,D1,YGR098C,96_wellB7,2549.33,662.79,3.83,1.90,3.63
1,D13,YAL029C,96_wellB10,2425.00,159.35,6.27,2.60,6.00
1,D17,YDR326C,96_wellB11,3448.67,1379.74,3.30,1.70,3.03
1,D21,YDR443C,96_wellB12,2677.33,429.34,4.07,2.10,3.80
1,D5,YHR186C,96_wellB8,2333.67,41.43,4.03,2.13,3.73
1,D9,YDR334W,96_wellB9,3468.00,163.52,4.07,1.87,3.83
1,E1,YDR457W,96_wellC1,6103.00,471.17,4.80,2.50,4.47
