Protein Description,Probability Score,PSMs,Unique Peptides,"TMT-130 Intensity0 min","TMT-126 Intensity30 min","TMT-127 Intensity60 min","TMT-128 Intensity90 min","TMT-129 Intensity120 min","TMT-131 Intensity240 min",Quantified PSMs,Quantified Unique Peptides
"YGR185C TYS1 SGDID:S000003417, Chr VII from 867525-866341, reverse complement, Verified ORF, ""Cytoplasmic tyrosyl-tRNA synthetase, required for cytoplasmic protein synthesis; interacts with positions 34 and 35 of the tRNATyr anticodon; mutations in human ortholog YARS are associated with Charcot-Marie-Tooth (CMT) neuropathies""",0,185,24,102858375.6,106733917.2,99029873.91,103610485,105744761.5,112841025.9,95,21
"YNL055C POR1 SGDID:S000005000, Chr XIV from 518846-517995, reverse complement, Verified ORF, ""Mitochondrial porin (voltage-dependent anion channel), outer membrane protein required for the maintenance of mitochondrial osmotic stability and mitochondrial membrane permeability; phosphorylated""",0,238,23,137197221.8,143707877.2,159518220.1,159780433.1,164269913.6,152932822,140,19
"YBR084W MIS1 SGDID:S000000288, Chr II from 411048-413975, Verified ORF, ""Mitochondrial C1-tetrahydrofolate synthase, involved in interconversion between different oxidation states of tetrahydrofolate (THF); provides activities of formyl-THF synthetase, methenyl-THF cyclohydrolase, and methylene-THF dehydrogenase""",0,114,29,50616077.29,49686991.95,45886666.89,44109514.18,43334966.55,45136078.19,41,16
"YML063W RPS1B SGDID:S000004528, Chr XIII from 146482-147249, Verified ORF, ""Ribosomal protein 10 (rp10) of the small (40S) subunit; nearly identical to Rps1Ap and has similarity to rat S3a ribosomal protein""",0,697,32,139164325.5,133044010.9,128440479.9,130902517.6,131622647.3,136587736.2,63,8
"YPL106C SSE1 SGDID:S000006027, Chr XVI from 352272-350191, reverse complement, Verified ORF, ""ATPase that is a component of the heat shock protein Hsp90 chaperone complex; binds unfolded proteins; member of the heat shock protein 70 (HSP70) family; localized to the cytoplasm""",0,1091,56,627038266,618117484.7,605036056.3,601870193.4,570186957.6,546658696.2,512,51
"YPR074C TKL1 SGDID:S000006278, Chr XVI from 694835-692793, reverse complement, Verified ORF, ""Transketolase, similar to Tkl2p; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids""",0,368,34,234059263.3,217343479.7,209863633.4,220389559.2,212302856.2,216260569.5,204,28
"YKL210W UBA1 SGDID:S000001693, Chr XI from 39164-42238, Verified ORF, ""Ubiquitin activating enzyme (E1), involved in ubiquitin-mediated protein degradation and essential for viability""",0,329,39,153696412.8,152338851.2,176295202.3,182242787.8,179721099.5,172262812.3,181,35
"YBL039C URA7 SGDID:S000000135, Chr II from 145731-143992, reverse complement, Verified ORF, ""Major CTP synthase isozyme (see also URA8), catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de novo biosynthesis of pyrimidines; involved in phospholipid biosynthesis""",0,168,33,78974692.84,75693300.82,71241335.54,70075417.76,68280080.09,65276936.98,69,18
"YKR059W TIF1 SGDID:S000001767, Chr XI from 554629-555816, Verified ORF, ""Translation initiation factor eIF4A, identical to Tif2p; DEA(D/H)-box RNA helicase that couples ATPase activity to RNA binding and unwinding; forms a dumbbell structure of two compact domains connected by a linker; interacts with eIF4G""",0,585,29,279643859.6,271685644.8,263348722.6,265855874.4,261960299.8,264517643.5,326,31
"YER025W GCD11 SGDID:S000000827, Chr V from 205250-206833, Verified ORF, ""Gamma subunit of the translation initiation factor eIF2, involved in the identification of the start codon; binds GTP when forming the ternary complex with GTP and tRNAi-Met""",0,235,24,165753983.8,156876028.4,160404069.2,161587625.7,159303582.5,155150189.9,149,22
"YNL220W ADE12 SGDID:S000005164, Chr XIV from 234414-235715, Verified ORF, ""Adenylosuccinate synthase, catalyzes the first step in synthesis of adenosine monophosphate from inosine 5'monophosphate during purine nucleotide biosynthesis; exhibits binding to single-stranded autonomously replicating (ARS) core sequence""",0,229,27,130316956.6,128429502,129824485.8,125467290.3,121430375.9,117012716,130,22
"YEL071W DLD3 SGDID:S000000797, Chr V from 16355-17845, Verified ORF, ""D-lactate dehydrogenase, part of the retrograde regulon which consists of genes whose expression is stimulated by damage to mitochondria and reduced in cells grown with glutamate as the sole nitrogen source, located in the cytoplasm""",0,267,36,129697880.6,129919399.1,124738870,123505382.2,125038131.7,114110714.6,120,28
"YDL140C RPO21 SGDID:S000002299, Chr IV from 210562-205361, reverse complement, Verified ORF, ""RNA polymerase II largest subunit B220, part of central core; phosphorylation of C-terminal heptapeptide repeat domain regulates association with transcription and splicing factors; similar to bacterial beta-prime""",0,111,33,30263314.77,31200565.86,30719328.16,30845876.15,30928824.21,29181620.79,34,19
"YNL079C TPM1 SGDID:S000005023, Chr XIV from 479166-478567, reverse complement, Verified ORF, ""Major isoform of tropomyosin; binds to and stabilizes actin cables and filaments, which direct polarized cell growth and the distribution of several organelles; acetylated by the NatB complex and acetylated form binds actin most efficiently""",0,179,24,99144225.44,101345592.4,108618229.5,107424555.1,111284118.5,108423644.9,116,21
"YGR061C ADE6 SGDID:S000003293, Chr VII from 615969-611893, reverse complement, Verified ORF, ""Formylglycinamidine-ribonucleotide (FGAM)-synthetase, catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway""",0,335,46,160038947.9,147220178.2,148805764.3,144217593.4,138637414.3,129942384,169,37
"YOR184W SER1 SGDID:S000005710, Chr XV from 679358-680545, Verified ORF, ""3-phosphoserine aminotransferase, catalyzes the formation of phosphoserine from 3-phosphohydroxypyruvate, required for serine and glycine biosynthesis; regulated by the general control of amino acid biosynthesis mediated by Gcn4p""",0,170,22,70253499.91,71895501.98,71865849.47,71445807.69,71268826.73,72906696.9,68,16
"YHR064C SSZ1 SGDID:S000001106, Chr VIII from 227143-225527, reverse complement, Verified ORF, ""Hsp70 protein that interacts with Zuo1p (a DnaJ homolog) to form a ribosome-associated complex that binds the ribosome via the Zuo1p subunit; also involved in pleiotropic drug resistance via sequential activation of PDR1 and PDR5; binds ATP""",0,419,30,246347621.8,244099997.4,235120972.1,233573184.1,232999911.4,229272884.4,216,30
"YMR229C RRP5 SGDID:S000004842, Chr XIII from 731122-725933, reverse complement, Verified ORF, ""RNA binding protein with preference for single stranded tracts of U's involved in synthesis of both 18S and 5.8S rRNAs; component of both the ribosomal small subunit (SSU) processosome and the 90S preribosome""",0,275,57,130815491.9,120108073.7,116128951.6,112859310.2,110060754,108640925.7,127,37
"YER165W PAB1 SGDID:S000000967, Chr V from 510368-512101, Verified ORF, ""Poly(A) binding protein, part of the 3'-end RNA-processing complex, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G""",0,568,45,411184514.1,386884960.8,381244795,373365386.6,374100017.6,386815039.8,304,49
"YOR096W RPS7A SGDID:S000005622, Chr XV from 505795-505938,506340-506768, Verified ORF, ""Protein component of the small (40S) ribosomal subunit, nearly identical to Rps7Bp; interacts with Kti11p; deletion causes hypersensitivity to zymocin; has similarity to rat S7 and Xenopus S8 ribosomal proteins""",0,455,20,141193419.4,127237970,109748230.5,113335473.6,108445973.3,116150199.8,141,10
"YNL112W DBP2 SGDID:S000005056, Chr XIV from 413641-414913,415916-416283, Verified ORF, ""Essential ATP-dependent RNA helicase of the DEAD-box protein family, involved in nonsense-mediated mRNA decay and rRNA processing""",0,191,26,64233725.05,64006347.41,60900669.69,58145901.69,55693054.06,57670041.93,90,19
"YFL039C ACT1 SGDID:S000001855, Chr VI from 54695-54686,54377-53260, reverse complement, Verified ORF, ""Actin, structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions""",0,735,25,293743262,282226196.4,297723117.6,301893706.2,300246334.5,301896072.4,355,40
"YBR196C PGI1 SGDID:S000000400, Chr II from 613895-612231, reverse complement, Verified ORF, ""Glycolytic enzyme phosphoglucose isomerase, catalyzes the interconversion of glucose-6-phosphate and fructose-6-phosphate; required for cell cycle progression and completion of the gluconeogenic events of sporulation""",0,815,31,323672952.1,320621230.2,316165976.8,327804861.3,333690219.4,354679707.5,450,34
"YDR129C SAC6 SGDID:S000002536, Chr IV from 715377-715357,715245-713338, reverse complement, Verified ORF, ""Fimbrin, actin-bundling protein; cooperates with Scp1p (calponin/transgelin) in the organization and maintenance of the actin cytoskeleton""",0,120,25,45347460.48,48210610.87,51486995.48,52755969.86,52904434.37,52174280.87,55,16
"YAL005C SSA1 SGDID:S000000004, Chr I from 141433-139505, reverse complement, Verified ORF, ""ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaperone complex with Ydj1p; localized to the nucleus, cytoplasm, and cell wall""",0,3085,65,164803752.9,182685848.5,234134722.7,231657512.3,225050296.7,211763944.6,294,24
"YLR432W IMD3 SGDID:S000004424, Chr XII from 1002554-1004125, Verified ORF, ""Inosine monophosphate dehydrogenase, catalyzes the first step of GMP biosynthesis, member of a four-gene family in S. cerevisiae, constitutively expressed""",0,270,24,35538891.74,36846848.66,33788086.98,35013744.95,36608404.76,42489496.68,38,8
"YJL014W CCT3 SGDID:S000003551, Chr X from 407551-409155, Verified ORF, ""Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo""",0,146,26,59794773.82,61007323.55,63123785.96,62090342.22,60169960.42,59731912.77,61,20
"YLR153C ACS2 SGDID:S000004143, Chr XII from 447576-445525, reverse complement, Verified ORF, ""Acetyl-coA synthetase isoform which, along with Acs1p, is the nuclear source of acetyl-coA for histone acetylation; mutants affect global transcription; required for growth on glucose; expressed under anaerobic conditions""",0,274,33,107921691.5,113195526.8,115596842.3,113848944.7,116249510,120311503.1,123,27
"YLR438W CAR2 SGDID:S000004430, Chr XII from 1012498-1013772, Verified ORF, ""L-ornithine transaminase (OTAse), catalyzes the second step of arginine degradation, expression is dually-regulated by allophanate induction and a specific arginine induction process; not nitrogen catabolite repression sensitive""",0,267,23,106839092.4,117772640.2,124081679.3,126253864,139028551,156470624.4,133,20
"YBL047C EDE1 SGDID:S000000143, Chr II from 132043-127898, reverse complement, Verified ORF, ""Key endocytic protein involved in a network of interactions with other endocytic proteins, binds membranes in a ubiquitin-dependent manner, may also bind ubiquitinated membrane-associated proteins""",0,102,28,21357756.26,21014460.47,23939124.57,23871050.64,23833603.91,22891030.46,51,19
