Majority protein IDs,Protein names,Gene names,ORF,Peptides,Unique peptides,Sequence coverage [%],PEP,Copy number
Q07660,Protein BRE4,BRE4,YDL231C,2,2,1.4,0.00011473,0.678689523
Q12337;Q12113;P0C2J5,Transposon Ty2-GR1 Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-OR1 Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-LR2 Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H,TY2B-GR1;TY2B-OR1;TY2B-LR2,YOR192C-B,25,1,20.3,4.17E-178,0.690248816
P41695,Checkpoint serine/threonine-protein kinase BUB1,BUB1,YGR188C,2,2,2.4,3.54E-05,1.503869373
P38739,Cell wall integrity and stress response component 4,WSC4,YHL028W,1,1,1.8,0.00045938,1.696689451
P41821,Stretch-activated cation channel MID1,MID1,YNL291C,1,1,1.8,0.00075749,1.925978447
P39734,Protein HPH2,FRT2,YAL028W,1,1,3.6,0.00047152,2.038050365
Q04383,Protein PLM2,PLM2,YDR501W,1,1,2.5,0.00030705,2.197334631
P53264,"Cardiolipin-specific deacylase 1, mitochondrial",CLD1,YGR110W,1,1,2.5,0.00044439,2.3502325
P38995,Copper-transporting ATPase,CCC2,YDR270W,1,1,1.2,0.00010785,2.566647012
P32526,Karyogamy protein KAR9,KAR9,YPL269W,1,1,1.7,0.00081665,2.604831819
P38163,Lethal(2) giant larvae protein homolog SRO77,SRO77,YBL106C,2,2,2.3,1.87E-06,2.945466612
P05316,Uracil permease,FUR4,YBR021W,1,1,1.6,0.0021872,3.184652497
P42933,Stationary phase protein 5,SPG5,YMR191W,1,1,2.9,0.00050366,3.359783478
P36150,Uroporphyrinogen-III C-methyltransferase,MET1,YKR069W,1,1,1.5,0.0018362,3.373909422
P25502,Proline utilization trans-activator,PUT3,YKL015W,3,3,4.7,4.95E-08,3.399380206
Q03674,Lysophospholipase 2,PLB2,YMR006C,2,1,4,4.04E-08,3.50790553
Q04301,Vacuolar basic amino acid transporter 1,VBA1,YMR088C,1,1,4.4,0.00022084,3.559607149
P40310,Outward-rectifier potassium channel TOK1,TOK1,YJL093C,1,1,3,6.39E-06,3.8042278
P38766,ATP-dependent helicase RRM3,RRM3,YHR031C,2,2,2.8,3.12E-06,3.829172587
P52868,Pre-mRNA-splicing factor CWC23,CWC23,YGL128C,1,1,3.5,0.00031178,3.961358677
P53050,Protein MGA1,MGA1,YGR249W,1,1,2,0.00054526,4.013482705
P32334,Signaling mucin MSB2,MSB2,YGR014W,2,2,2.1,3.23E-06,4.0534368
P32786,RNA polymerase I-specific transcription initiation factor RRN6,RRN6,YBL014C,1,1,1.2,0.00056999,4.165394767
Q01926,"Magnesium transporter MRS2, mitochondrial",MRS2,YOR334W,1,1,3,0.00024031,4.183761515
P35203,Centromere DNA-binding protein complex CBF3 subunit C,CTF13,YMR094W,1,1,4.2,3.24E-05,4.187061704
P43571,GPI inositol-deacylase,BST1,YFL025C,2,2,1.9,1.03E-07,4.232993411
P47043,Zinc-responsive transcriptional regulator ZAP1,ZAP1,YJL056C,2,2,3.9,1.66E-08,4.234482391
P43606,SPS-sensor component PTR3,PTR3,YFR029W,3,3,4.9,4.56E-08,4.323370831
Q03787,Uncharacterized protein YDR249C,YDR249C,YDR249C,1,1,3.8,2.21E-07,4.425292876
P32383,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase 1",PLC1,YPL268W,1,1,1.6,1.00E-07,4.43332752
P39961,Uncharacterized transcriptional regulatory protein YER184C,YER184C,YER184C,2,2,2.1,0.00018596,4.725729622
P19807,Choline transport protein,HNM1,YGL077C,1,1,1.4,0.0011745,4.782649569
P0C2I6,Transposon Ty1-LR3 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,TY1B-LR3,YLR227W-B,42,0,38.7,0,4.85461305
P36138,Uncharacterized protein YKR045C,YKR045C,YKR045C,1,1,8.7,0.00044243,5.139243964
P40077,Protein DSE1,DSE1,YER124C,2,2,4.7,3.68E-07,5.150858095
Q08119,Protein ESC8,ESC8,YOL017W,2,2,2.7,7.63E-05,5.241267243
P12689,DNA repair protein REV1,REV1,YOR346W,2,2,2.5,8.97E-10,5.293396989
P35187,ATP-dependent helicase SGS1,SGS1,YMR190C,3,3,2.1,8.12E-09,5.35180718
Q07980,DNA mismatch repair protein MLH2,MLH2,YLR035C,1,1,1.4,0.00023883,5.365492054
P03876,Putative COX1/OXI3 intron 2 protein,aI2,Q0055,2,2,3,8.31E-05,5.425416504
P53167,tRNA pseudouridine(27/28) synthase,PUS2,YGL063W,1,1,4.3,0.0005777,5.497247283
P50275,Anaphase spindle elongation protein,ASE1,YOR058C,2,2,1.6,0.00010787,5.659000639
P50873,Serine/threonine-protein kinase MRK1,MRK1,YDL079C,1,1,2.4,5.30E-05,5.748828342
P43602,Protein ROG3,ROG3,YFR022W,1,1,1.4,0.00068612,5.764751127
Q99222,ARF3-interacting protein 1,AFI1,YOR129C,2,2,2.1,0.00013137,5.819930155
P40458,Autophagy-related protein 32,ATG32,YIL146C,1,1,2.8,0.00019334,6.177650472
Q12407,Putative metabolite transport protein YDL199C,,YDL199C,1,1,2.5,0.00026628,6.18909102
Q03018,Separin,ESP1,YGR098C,4,4,2.6,2.08E-08,6.205244841
P47107,Uncharacterized protein YJR039W,,YJR039W,2,2,2.8,6.27E-09,6.430352292
P32828,E3 ubiquitin-protein ligase complex SLX5-SLX8 subunit SLX5,SLX5,YDL013W,2,2,4,1.39E-09,6.613647504
P38110,Serine/threonine-protein kinase TEL1,TEL1,YBL088C,7,7,2.7,4.20E-25,6.78289668
P36052,Protein midA homolog,,YKL162C,1,1,2.5,0.0032762,6.83085777
P53389,Protein HOL1,HOL1,YNR055C,1,1,1.4,0.00066436,6.88836265
Q99373,"Protein PET20, mitochondrial",PET20,YPL159C,1,1,3.6,0.0034232,6.922928984
P38356,Metal homeostatis protein BSD2,BSD2,YBR290W,1,1,2.8,0.0017164,7.027166507
Q06595,Maltose fermentation regulatory protein YPR196W,,YPR196W,1,1,3,1.13E-10,7.480814153
P39113,Regulatory protein CAT8,CAT8,YMR280C,4,4,4.3,6.67E-09,7.502961032
Q03446,Protein RCR2,RCR2,YDR003W,1,1,9,2.01E-05,7.52255874
P36003,Nitrogen network kinase 1,NNK1,YKL171W,3,3,3.3,4.34E-09,7.671430974
P38871,Sporulation-specific protein 1,SSP1,YHR184W,2,2,4.4,4.11E-08,7.711192962
P47161,Vacuolar protein sorting-associated protein 70,VPS70,YJR126C,3,3,5.7,1.45E-07,7.766979438
Q04549,Actin-like protein ARP10,ARP10,YDR106W,2,2,8.8,5.63E-08,8.009892768
P25578,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PGS1,YCL004W,1,1,3.8,0.00035268,8.376486416
P40577,Anaphase-promoting complex subunit MND2,MND2,YIR025W,1,1,3.3,0.0016565,8.405220024
P33335,Protein SGE1,SGE1,YPR198W,1,1,2.2,8.67E-06,8.439279366
Q03983,Uncharacterized protein YDR179W-A,,YDR179W-A,2,2,6,1.67E-10,8.498152772
P36044,Protein MNN4,MNN4,YKL201C,3,3,2.4,1.02E-08,8.558008541
Q12045,Spindle pole body-associated protein VIK1,VIK1,YPL253C,2,2,3.1,0.00024288,8.562655048
Q05947,F-box protein YLR224W,YLR224W,YLR224W,1,1,4.9,1.97E-13,8.611096961
P25611,Regulator of drug sensitivity 1,RDS1,YCR106W,2,2,2.4,3.94E-06,8.740145099
Q03162,MYND-type zinc finger protein MUB1,MUB1,YMR100W,2,2,3.7,6.77E-06,8.753274774
P38702,Mitochondrial carrier protein LEU5,LEU5,YHR002W,2,2,6.2,8.84E-11,8.761414419
P53755,Bypass of stop codon protein 5,BSC5,YNR069C,1,1,2.2,0.00010451,8.801283998
P47032,Protein PRY1,PRY1,YJL079C,1,1,3.3,0.00075772,8.806011263
P38699,Protein STB5,STB5,YHR178W,2,2,2.3,0.00016816,8.819008797
P40473,Transcriptional acticator POG1,POG1,YIL122W,1,1,2.3,0.0031664,8.879530179
Q12098,Structure-specific endonuclease subunit SLX4,SLX4,YLR135W,2,2,6.8,2.40E-07,8.893783965
Q06266,Protein TOS4,TOS4,YLR183C,1,1,2.9,1.06E-08,8.957432034
P38289,"Exonuclease V, mitochondrial",EXO5,YBR163W,2,2,3.8,8.47E-07,8.96502323
Q03964,Transposon Ty1-DR2 Gag polyprotein;Capsid protein;Gag-p4,TY1A-DR2,YDR170W-A,9,1,27.7,3.62E-215,9.187061914
P39529,Putative transcriptional regulatory protein YJL206C,,YJL206C,2,2,4,6.84E-05,9.29724662
Q03694,Inheritance of peroxisomes protein 1,INP1,YMR204C,1,1,2.4,0.00011393,9.473646284
P25577,Uncharacterized protein YCL049C,,YCL049C,1,1,2.9,0.00094968,9.479572295
P41698,Bud site selection protein 8,BUD8,YLR353W,2,2,5.3,5.06E-06,9.698401072
P54199,Serine/threonine-protein kinase MPS1,MPS1,YDL028C,1,1,1.8,3.06E-06,9.734939904
P32945,Serine/threonine-protein phosphatase PPQ,PPQ1,YPL179W,2,2,3.8,5.45E-06,9.764994687
P13090,Aminotriazole resistance protein,ATR1,YML116W,1,1,2.2,1.38E-06,9.943236065
Q05611,Bypass of stop codon protein 2,BSC2,YDR275W,1,1,5.1,0.00015877,9.945175998
Q06349,Uncharacterized protein YDR370C,YDR370C,YDR370C,2,2,4.5,3.04E-09,10.0299818
P38925,Manganese transporter SMF1,SMF1,YOL122C,2,2,4.9,1.88E-05,10.19457391
P39542,Uncharacterized transporter YJL193W,,YJL193W,1,1,4.7,2.57E-08,10.1969969
Q08729,Protein DSE3,DSE3,YOR264W,1,1,3,2.76E-07,10.30100962
P40456,Uncharacterized protein YIL151C,YIL151C,YIL151C,3,3,4.2,1.99E-13,10.41738823
P53861,Elongin-A,ELA1,YNL230C,1,1,2.6,0.00031298,10.43302273
P53226,Bud site selection protein 9,BUD9,YGR041W,3,3,6.9,5.62E-11,10.6689558
P33306,Protein BCK2,BCK2,YER167W,1,1,2.4,0.0015188,10.76436664
P31386,Protein ATS1,ATS1,YAL020C,2,2,8.4,2.01E-20,10.86817404
P14066,"Cytochrome b translational activator protein CBS1, mitochondrial",CBS1,YDL069C,1,1,5.7,2.43E-05,10.90529286
P38750,Uncharacterized transporter YHL008C,YHL008C,YHL008C,2,2,3.2,2.70E-06,10.90849053
P38292,Peroxisomal membrane protein PEX32,PEX32,YBR168W,1,1,2.2,0.0025915,10.91545089
Q12214,Histone deacetylase HOS1,HOS1,YPR068C,3,3,7,2.69E-11,11.14803282
P40502,"Altered inheritance of mitochondria protein 19, mitochondrial",AIM19,YIL087C,1,1,7,0.00035126,11.33235811
P53197,APC/C activator protein CDH1,CDH1,YGL003C,2,2,4.6,2.27E-07,11.38668026
P53214,Protein MTL1,MTL1,YGR023W,1,1,1.6,1.76E-05,11.4451437
Q12041,Transcriptional regulator MET32,MET32,YDR253C,1,1,7.3,3.98E-06,11.51142527
P38278,UPF0657 nucleolar protein YBR141C,,YBR141C,1,1,6.2,1.79E-05,11.58827158
Q04429,Protein HLR1,HLR1,YDR528W,1,1,4.3,0.00020799,11.64389807
P36026,Ubiquitin carboxyl-terminal hydrolase 11,UBP11,YKR098C,4,4,7.9,8.27E-10,11.65899231
Q02574,DNA damage checkpoint control protein MEC3,MEC3,YLR288C,1,1,2.7,3.87E-06,11.76033374
P22580,Probable amidase,AMD2,YDR242W,1,1,1.5,0.0019407,11.85888438
Q12128,Rho-GTPase-activating protein BAG7,BAG7,YOR134W,3,3,8.6,5.19E-07,11.94165387
Q05080,Cytokinesis protein 2,HOF1,YMR032W,2,2,2.5,8.31E-06,12.04639028
Q07376,Probable transporter MCH1,MCH1,YDL054C,1,1,4.7,7.97E-06,12.0803349
Q12171,Mitochondrial distribution and morphology protein 32,MDM32,YOR147W,2,2,3.4,1.71E-07,12.1175871
P53838,Boron transporter 1,BOR1,YNL275W,2,2,3.5,7.02E-19,12.16731108
P40505,Transcriptional regulatory protein SDS3,SDS3,YIL084C,1,1,4.3,1.71E-10,12.26722601
P47074,Spindle assembly checkpoint component MAD3,MAD3,YJL013C,2,2,5,7.04E-10,12.45498732
P46974,Respiration factor 2,RSF2,YJR127C,5,5,3.2,1.44E-12,12.49118597
P07286,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase,ALG7,YBR243C,1,1,2.7,4.34E-05,12.61925682
P47041,Target of rapamycin complex 2 subunit BIT61,BIT61,YJL058C,2,2,6.3,1.08E-12,12.6592706
P23250,Negative RAS protein regulator protein,RPI1,YIL119C,1,1,2.5,0.00012881,12.70198852
P13045,Protein GAL3,GAL3,YDR009W,2,2,4.8,2.06E-08,12.71700978
