YORF,Name,NCBI gi,NCBI gi2,SGD ID,ORF status,"# potential tryptic peptides with up to 2 missed cleavages, <7.5 KDa, >3 aa long",O_i (Integrated probability of peptide observations),n_i (# observed peptides),p_i (probability of correct protein identification),APEX,n_i (# observed peptides),p_i (probability of correct protein identification),APEX,p(YPD),p(YMD),p(null),Z (YMD-YPD),GFP- YPD,GFP - YMD,Western,2D gel,"Average (>=2 measurements out of APEX, Western, 2D)",SAGE,HDA,Wang,"Average (>=2 measurements out of SAGE,HDA, Wang)",Avg_protein/Avg_mRNA,MW (Da),PI,CAI (Codon Adaptation Index),Length,Codon Bias,FOP Score (Frequency of Optimal Codons),Gravy Score (Hydropathicity of Protein),"Aromaticity (Frequency of aromatic amino acids: Phe, Tyr, Trp)",PEST_abs,PEST_rel
Q0010,Q0010,6381997,,S000007257,ORF|Dubious,6,0.95,,,,,,,0,0,0,,,,,,,,,,,,15628,4.54,0.101,128,-0.366,0.368,0.916406,0.273438,,
Q0017,Q0017,6226517,,S000007258,ORF|Dubious,15,4.48,,,,,,,0,0,0,,,,,,,,,,,,6271,10.76,0.102,53,-0.159,0.38,-0.090566,0.132075,,
Q0032,Q0032,6381998,,S000007259,ORF|Dubious,17,4.04,,,,,,,0,0,0,,,,,,,,,,,,12471,10.38,0.067,96,-0.614,0.211,0.29375,0.28125,,
Q0045,COX1,6226519,,S000007260,ORF|Verified,32,7.58,,,,,,,0,0,0,,,,,,,,,1.44,,,58798,7.12,0.144,534,-0.11,0.398,0.74176,0.146067,108,0.2
Q0050,AI1,6226520,,S000007261,ORF|Verified,332,74.83,,,,,,,0,0,0,,,,,,,,,1.76,,,96078,10.7,0.123,834,-0.162,0.369,-0.333813,0.092326,165,0.2
Q0055,AI2,6226521,,S000007262,ORF|Verified,316,75.14,,,,,,,0,0,0,,,,,,,,,1.61,,,98008,10.45,0.161,854,-0.124,0.397,-0.227166,0.098361,159,0.19
Q0060,AI3,6226522,,S000007263,ORF|Verified,123,31.63,1,0.35,1029,,,,5.52E-05,0,2.61E-05,-1.06,,,,,,,,,,,46589,10.35,0.121,403,-0.288,0.303,-0.383375,0.126551,75,0.19
Q0065,AI4,6226523,,S000007264,ORF|Verified,146,32.27,,,,,,,0,0,0,,,,,,,,,0.78,,,61983,10.47,0.12,544,-0.253,0.33,0.074265,0.126838,100,0.18
Q0070,AI5_ALPHA,6226524,,S000007265,ORF|Verified,133,26.37,,,,,,,0,0,0,,,,,,,,,1.48,,,72164,10.35,0.118,630,-0.239,0.347,0.294762,0.133333,116,0.18
Q0075,AI5_BETA,6381999,,S000007266,ORF|Uncharacterized,127,34.22,,,,,,,0,0,0,,,,,,,,,,,,42279,10.27,0.139,354,-0.335,0.313,-0.358757,0.155367,61,0.17
