ORF,Gene,Control Median,Control STD,Control Localization,Repeat 1 Median,Repeat 1 STD,Repeat 1 Localization,Repeat 2 Median,Repeat 2 STD,Repeat 2 Localization,DTT Median,DTT STD,DTT FoldChange,DTT Localization,H2O2 Median,H2O2 STD,H2O2 FoldChange,H2O2 Localization,Starvation Median,Starvation STD,Starvation FoldChange,Starvation Localization,Description
YOR367W,SCP1,13.5,3.777739218,below threshold,11.380404,2.792313763,below threshold,15.626506,3.42294283,below threshold,15.96,5.95,1.18,cytosol,17.55,3.6,1.3,cytosol,17.07,5.82,1.26,cytosol,"Component of yeast cortical actin cytoskeleton, binds and cross links actin filaments; originally identified by its homology to calponin (contains a calponin-like repeat) but the Scp1p domain structure is more similar to transgelin"
YOR090C,PTC5,13.23,3.865430094,below threshold,11.549549,2.56694504,below threshold,14.931034,3.817946012,below threshold,19.4,8.27,1.46,cytosol,12.6,4.19,0.95,cytosol,18.79,7.18,1.41,cytosol,Mitochondrial type 2C protein phosphatase involved in regulation of pyruvate dehydrogenase activity by dephosphorylating the ser-133 residue of the Pda1p subunit; acts in concert with kinases Pkp1p and Pkp2p and phosphatase Ptc6p
YKR082W,NUP133,11.87,3.84268628,below threshold,11.740741,3.052866652,below threshold,12.015064,4.250307212,below threshold,16.38,5.09,1.37,cytosol,16.12,2.84,1.35,cytosol,NA,NA,NA,cytosol,"Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC), localizes to both sides of the NPC, required to establish a normal nucleocytoplasmic concentration gradient of the GTPase Gsp1p"
YLR368W,MDM30,13.29,3.544579332,below threshold,12.0775775,3.592866773,below threshold,14.517928,3.011761308,below threshold,16.98,6.33,1.27,cytosol,13.7,2.93,1.03,cytosol,19.69,3.83,1.48,cytosol,F-box protein; associates with mitochondria and has a role in mitochondrial fusion; stimulates nuclear export of specific mRNAs; promotes ubiquitin-mediated degradation of Gal4p in some strains
YPR096C,YPR096C,13.24,3.81852857,below threshold,12.160211,3.898050271,below threshold,14.3395175,3.455121531,below threshold,16.88,5.96,1.27,cytosol,15.03,3.37,1.13,cytosol,15.94,7.26,1.2,cytosol,"Protein of unknown function that may interact with ribosomes, based on co-purification experiments"
YGL211W,NCS6,14.1,3.317418019,below threshold,12.169168,2.606037657,below threshold,16.040817,3.063879532,below threshold,13.63,5.69,0.96,cytosol,15.92,3.53,1.12,cytosol,23.18,11.63,1.64,cytosol,"Protein required for thiolation of the uridine at the wobble position of Gln, Lys, and Glu tRNAs; has a role in urmylation and in invasive and pseudohyphal growth; inhibits replication of Brome mosaic virus in S. cerevisiae"
YNR032C-A,HUB1,12.76,3.413379862,below threshold,12.204545,3.102169528,below threshold,13.3340675,3.634027894,below threshold,16.2,5.8,1.26,cytosol,14.43,3.28,1.13,cytosol,17.3,6.12,1.35,cytosol,"Ubiquitin-like protein modifier, may function in modification of Sph1p and Hbt1p, functionally complemented by the human or S. pombe ortholog; mechanism of Hub1p adduct formation not yet clear"
YAL064W,YAL064W,12.61,3.723458191,below threshold,12.205556,3.812767331,below threshold,13.024929,3.629274897,below threshold,15.93,5.94,1.26,cytosol,15.18,3.24,1.2,cytosol,18.01,9.82,1.42,cytosol,"Protein of unknown function; may interact with ribosomes, based on co-purification experiments"
YFR037C,RSC8,13.27,3.894469359,below threshold,12.289527,3.942874833,below threshold,14.26087,3.6058248,below threshold,17.75,6.35,1.33,cytosol,13.05,3.33,0.98,cytosol,14.76,3.07,1.11,cytosol,"Component of the RSC chromatin remodeling complex; essential for viability and mitotic growth; homolog of SWI/SNF subunit Swi3p, but unlike Swi3p, does not activate transcription of reporters"
YLR156W,YLR156W,13.38,4.047515652,below threshold,12.334951,3.979813926,below threshold,14.4336625,3.921415342,below threshold,17.22,5.68,1.28,cytosol,16.49,4.03,1.23,cytosol,17.86,10.52,1.33,cytosol,Putative protein of unknown function; exhibits a two-hybrid interaction with Jsn1p in a large-scale analysis
