Protein IDs,Protein name,Gene name,Uniprot,Peptides,Razor Peptides,Unique Peptides,Sequence Coverage [%],Mol. Weight [kDa],PEP,Intensity Exp1,Intensity Exp2,Intensity Exp3,,
YHR174W,2-phospho-D-glycerate hydro-lyase 1;2-phospho-D-glycerate hydro-lyase 2;2-phosphoglycerate dehydratase 1;2-phosphoglycerate dehydratase 2;Enolase;Enolase 1;Enolase 2,ENO1;ENO2;ENOA;ENOB;G9160;HSP48;YGR254W;YHR174W,D3DLC2;P00925;P99013,33,33,16,83.5,46.9,0.0E+00,1.5E+10,1.3E+10,5.5E+09,,
YCR012W,Phosphoglycerate kinase,PGK1;YCR012W;YCR12W,P00560,40,40,40,73.3,44.7,0.0E+00,1.1E+10,5.4E+09,4.4E+09,,
YGR192C,Glyceraldehyde-3-phosphate dehydrogenase 3,G7576;GPD3;TDH3;YGR192C,P00359;Q6Q5P9,28,28,6,81.9,35.7,0.0E+00,9.6E+09,8.3E+09,4.0E+09,,
YBR118W;YPR080W,Elongation factor 1-alpha;Eukaryotic elongation factor 1A;Translation elongation factor 1A,P9513.7;TEF1;TEF2;YBR0913;YBR118W;YPR080W,P02994;Q7Z7U8;Q7Z8Q8;Q7Z8Q9,31,31,31,77.7,50.0,0.0E+00,8.1E+09,6.2E+09,3.7E+09,,
YAL038W,Pyruvate kinase 1,CDC19;PYK1;YAL038W,P00549;Q2VQG5,34,34,33,64,54.5,0.0E+00,8.5E+09,5.4E+09,2.8E+09,,
YKL060C,"Fructose-1,6-bisphosphate aldolase;Fructose-bisphosphate aldolase",FBA1;YKL060C;YKL320,P14540,31,31,31,95.3,39.6,0.0E+00,7.1E+09,6.9E+09,2.7E+09,,
YLR044C,Pyruvate decarboxylase isozyme 1,L2104;PDC1;YLR044C,O00042;P06169;Q07991;Q12682;Q12686;Q12687,37,37,30,74.2,61.5,0.0E+00,9.4E+09,8.0E+09,1.9E+09,,
YDL229W,Cold-inducible protein YG101;Heat shock protein SSB1,SSB1;YDL229W;YG101,P11484;Q05834,22,22,1,58.7,66.6,0.0E+00,5.9E+09,3.2E+09,1.7E+09,,
YKL152C,BPG-dependent PGAM 1;MPGM 1;Phosphoglycerate mutase 1;Phosphoglyceromutase 1,GPM;GPM1;YKL152C;YKL607,P00950;Q02117,24,24,24,87.9,27.6,0.0E+00,7.0E+09,4.5E+09,1.6E+09,,
YAL005C,Heat shock protein SSA1;Heat shock protein YG100,SSA1;YAL005C,P10591,40,40,12,70.2,69.7,0.0E+00,5.2E+09,4.0E+09,1.6E+09,,
YMR186W,82 kDa heat shock cognate protein;ATP-dependent molecular chaperone HSC82;Heat shock protein Hsp90 constitutive isoform,HSC82;YM8010.16;YMR186W,P15108,52,52,15,66.2,80.9,0.0E+00,4.6E+09,2.4E+09,1.5E+09,,
YGR254W,2-phospho-D-glycerate hydro-lyase 1;2-phospho-D-glycerate hydro-lyase 2;2-phosphoglycerate dehydratase 1;2-phosphoglycerate dehydratase 2;Enolase 1;Enolase 2,ENO1;ENO2;ENOA;ENOB;G9160;HSP48;YGR254W;YHR174W,P00924;P99013,32,15,15,78.7,46.8,0.0E+00,1.3E+09,2.3E+09,1.4E+09,,
YER091C,"5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase;Cobalamin-independent methionine synthase;Cobalamin-independent methionine synthase, involved in methionine biosynthesis and regeneration; requires a minimum of two glutamates on the methyltetrahydrofolate substrate, similar to bacterial metE homologs;Delta-P8 protein;Methionine synthase, vitamin-B12 independent isozyme",MET6;YER091C,D3DLZ8;P05694;P38010;Q02488;Q27JJ8,51,51,51,79,85.9,0.0E+00,3.2E+09,1.3E+09,1.1E+09,,
YOL086C,Alcohol dehydrogenase 1;Alcohol dehydrogenase I;YADH-1,ADC1;ADH1;O0947;YOL086C,P00330,24,24,15,71.6,36.8,0.0E+00,7.7E+09,4.3E+09,1.0E+09,,
YLR355C,"Acetohydroxy-acid reductoisomerase;Alpha-keto-beta-hydroxylacil reductoisomerase;Ketol-acid reductoisomerase, mitochondrial",ILV5;ILV5G;ILV5X;L9638.7;YLR355C,P06168,17,17,17,53.2,44.4,0.0E+00,2.5E+09,1.2E+09,1.0E+09,,
YDR050C,Triosephosphate isomerase;Triose-phosphate isomerase,TPI1;YD9609.05C;YDR050C,P00942,15,15,15,89.1,26.8,0.0E+00,2.6E+09,3.2E+09,8.8E+08,,
YDR155C,Cyclophilin;Cyclosporin A-binding protein;Peptidyl-prolyl cis-trans isomerase;PPI-II;Rotamase,CPH1;CPR1;CYP1;SCC1;YD8358.10C;YDR155C,P14832,14,14,13,96.9,17.4,2.2E-303,2.5E+09,1.2E+09,8.7E+08,,
YDR385W;YOR133W,Elongation factor 2;Eukaryotic elongation factor 2;Ribosomal translocase;Translation elongation factor 2,EFT1;EFT2;O3317;YDR385W;YOR133W;YOR3317W,P32324;Q6JEF7,41,41,41,67.3,93.3,0.0E+00,3.9E+09,3.6E+09,7.5E+08,,
YBR196C,Glucose-6-phosphate isomerase;Phosphoglucose isomerase;Phosphohexose isomerase,PGI1;YBR1406;YBR196C,P12709,27,27,27,64.1,61.3,0.0E+00,3.3E+09,2.2E+09,6.9E+08,,
YLR249W,Elongation factor 3A;Eukaryotic elongation factor 3;Translation elongation factor 3A;Yeast elongation factor 3,EFC1;L9672.5;TEF3;YEF3;YEF3A;YLR249W,O93815;P16521;Q06558,51,51,43,65.8,115.9,0.0E+00,4.1E+09,3.1E+09,6.7E+08,,
