Protein Description,Probability Score,PSMs,Unique Peptides,"TMT-130 Intensity0 min","TMT-126 Intensity30 min","TMT-127 Intensity60 min","TMT-128 Intensity90 min","TMT-129 Intensity120 min","TMT-131 Intensity240 min",Quantified PSMs,Quantified Unique Peptides
"YLR432W IMD3 SGDID:S000004424, Chr XII from 1002554-1004125, Verified ORF, ""Inosine monophosphate dehydrogenase, catalyzes the first step of GMP biosynthesis, member of a four-gene family in S. cerevisiae, constitutively expressed""",0,205,24,38333397.12,39975826.84,36715566.94,37183250,37264329.28,42554990.15,46,10
"YKL210W UBA1 SGDID:S000001693, Chr XI from 39164-42238, Verified ORF, ""Ubiquitin activating enzyme (E1), involved in ubiquitin-mediated protein degradation and essential for viability""",0,301,45,74376337.25,71035772.92,77154285.89,86728982.32,88479404.97,80751514.65,107,35
"YGL206C CHC1 SGDID:S000003174, Chr VII from 107508-102547, reverse complement, Verified ORF, ""Clathrin heavy chain, subunit of the major coat protein involved in intracellular protein transport and endocytosis; two heavy chains form the clathrin triskelion structural component; the light chain (CLC1) is thought to regulate function""",0,148,52,32199088.14,29431234.69,32107762.31,34550976.08,34452049.02,33129643.31,44,25
"YDL066W IDP1 SGDID:S000002224, Chr IV from 334835-336121, Verified ORF, ""Mitochondrial NADP-specific isocitrate dehydrogenase, catalyzes the oxidation of isocitrate to alpha-ketoglutarate; not required for mitochondrial respiration and may function to divert alpha-ketoglutarate to biosynthetic processes""",0,163,24,36496544.54,33286474.44,31025769.84,33534490.82,34619486.63,38696038.17,56,14
"YER006W NUG1 SGDID:S000000808, Chr V from 162722-164284, Verified ORF, ""GTPase that associates with nuclear 60S pre-ribosomes, required for export of 60S ribosomal subunits from the nucleus""",0,85,29,22303637.76,20903830.64,20318122.97,19357384.66,18001962.72,16407485.37,33,16
"YKL152C GPM1 SGDID:S000001635, Chr XI from 164390-163647, reverse complement, Verified ORF, ""Tetrameric phosphoglycerate mutase, mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse reaction during gluconeogenesis""",0,782,32,421425687.9,444893706,437276037.6,458250938.8,470388589,441276606.7,471,34
"YMR186W HSC82 SGDID:S000004798, Chr XIII from 632354-634471, Verified ORF, ""Cytoplasmic chaperone of the Hsp90 family, redundant in function and nearly identical with Hsp82p, and together they are essential; expressed constitutively at 10-fold higher basal levels than HSP82 and induced 2-3 fold by heat shock""",0,770,61,83144894.91,91668879.65,92328164.57,87670337.43,87251308.26,75256135.53,98,13
"YHR183W GND1 SGDID:S000001226, Chr VIII from 470960-472429, Verified ORF, ""6-phosphogluconate dehydrogenase (decarboxylating), catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone and adaptation to oxidative stress""",0,213,39,87030644.44,79688078.07,81329749.76,80485506.34,79104408.2,69999503.95,81,20
"YLL024C SSA2 SGDID:S000003947, Chr XII from 97484-95565, reverse complement, Verified ORF, ""ATP binding protein involved in protein folding and vacuolar import of proteins; member of heat shock protein 70 (HSP70) family; associated with the chaperonin-containing T-complex; present in the cytoplasm, vacuolar membrane and cell wall""",0,1724,63,59929494.64,67628050.81,59203929.27,59980938.22,55984665.25,54850244.88,198,19
"YER165W PAB1 SGDID:S000000967, Chr V from 510368-512101, Verified ORF, ""Poly(A) binding protein, part of the 3'-end RNA-processing complex, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G""",0,355,48,181502581.2,176966824,170657588.2,169199850.5,166136845.7,166037926.7,207,51
"YBR196C PGI1 SGDID:S000000400, Chr II from 613895-612231, reverse complement, Verified ORF, ""Glycolytic enzyme phosphoglucose isomerase, catalyzes the interconversion of glucose-6-phosphate and fructose-6-phosphate; required for cell cycle progression and completion of the gluconeogenic events of sporulation""",0,495,28,156768861.4,165031917.6,162658311.8,155427227.1,157431326.2,172683018.4,272,31
"YGR285C ZUO1 SGDID:S000003517, Chr VII from 1063160-1061859, reverse complement, Verified ORF, ""Cytosolic ribosome-associated chaperone that acts, together with Ssz1p and the Ssb proteins, as a chaperone for nascent polypeptide chains; contains a DnaJ domain and functions as a J-protein partner for Ssb1p and Ssb2p""",0,239,33,95810447.6,98104442.4,92003740.01,89593651.37,86000150.87,87003439.64,114,24
"YGR234W YHB1 SGDID:S000003466, Chr VII from 959908-961107, Verified ORF, ""Nitric oxide oxidoreductase, flavohemoglobin involved in nitric oxide detoxification; plays a role in the oxidative and nitrosative stress responses""",0,243,22,33580957.14,32866662.3,29708354.14,27929174.84,26829160.12,22550816.05,111,18
"YHR042W NCP1 SGDID:S000001084, Chr VIII from 190536-192611, Verified ORF, ""NADP-cytochrome P450 reductase; involved in ergosterol biosynthesis; associated and coordinately regulated with Erg11p""",0,78,24,20769438.07,19993432.31,19532493.34,19886148.83,19212800.75,19218994.14,36,14
"YKR059W TIF1 SGDID:S000001767, Chr XI from 554629-555816, Verified ORF, ""Translation initiation factor eIF4A, identical to Tif2p; DEA(D/H)-box RNA helicase that couples ATPase activity to RNA binding and unwinding; forms a dumbbell structure of two compact domains connected by a linker; interacts with eIF4G""",0,392,29,136408407.4,129873066.5,123378529.6,121380621.7,117907496.2,108085496.3,173,31
"YMR169C ALD3 SGDID:S000004779, Chr XIII from 600871-599351, reverse complement, Verified ORF, ""Cytoplasmic aldehyde dehydrogenase, involved in beta-alanine synthesis; uses NAD+ as the preferred coenzyme; very similar to Ald2p; expression is induced by stress and repressed by glucose""",0,174,27,4417390.212,7881679.88,24436757.2,27559835.5,25213075.12,19259622.33,33,10
"YOR168W GLN4 SGDID:S000005694, Chr XV from 649304-651733, Verified ORF, ""Glutamine tRNA synthetase, monomeric class I tRNA synthetase that catalyzes the specific glutaminylation of tRNA(Glu); N-terminal domain proposed to be involved in enzyme-tRNA interactions""",0,197,43,97336322.4,103352174.9,100251964.8,100522710.9,97690144.15,107849267,101,31
"YLL026W HSP104 SGDID:S000003949, Chr XII from 88622-91348, Verified ORF, ""Heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins; responsive to stresses including: heat, ethanol, and sodium arsenite; involved in [PSI+] propagation""",0,227,47,55070651.55,73946708.17,104144773.5,108567436.9,101319875.1,96872387.34,86,36
"YDL182W LYS20 SGDID:S000002341, Chr IV from 133438-134724, Verified ORF, ""Homocitrate synthase isozyme, catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate, which is the first step in the lysine biosynthesis pathway; highly similar to the other isozyme, Lys21p""",0,165,30,7500436.065,8199912.615,8486038.361,9131245.636,8992563.961,9802376.895,28,11
"YGL173C KEM1 SGDID:S000003141, Chr VII from 180119-175533, reverse complement, Verified ORF, ""Evolutionarily-conserved 5'-3' exonuclease component of cytoplasmic processing (P) bodies involved in mRNA decay; plays a role in microtubule-mediated processes, filamentous growth, ribosomal RNA maturation, and telomere maintenance""",0,105,35,23557333.54,23660055.38,24852816.54,26308302.32,24750010.78,24373595.67,36,19
"YLR058C SHM2 SGDID:S000004048, Chr XII from 259402-257993, reverse complement, Verified ORF, ""Cytosolic serine hydroxymethyltransferase, converts serine to glycine plus 5,10 methylenetetrahydrofolate; major isoform involved in generating precursors for purine, pyrimidine, amino acid, and lipid biosynthesis""",0,212,29,94292218.3,91616632.51,86542442.74,86036471.83,80226328.95,68597557.62,107,28
"YCR053W THR4 SGDID:S000000649, Chr III from 216693-218237, Verified ORF, ""Threonine synthase, conserved protein that catalyzes formation of threonine from 0-phosphohomoserine; expression is regulated by the GCN4-mediated general amino acid control pathway""",0,167,28,40207309.52,40348011.55,43112854.82,45695647.65,46162351.64,49129269.04,78,19
"YOR133W EFT1 SGDID:S000005659, Chr XV from 575099-577627, Verified ORF, ""Elongation factor 2 (EF-2), also encoded by EFT2; catalyzes ribosomal translocation during protein synthesis; contains diphthamide, the unique posttranslationally modified histidine residue specifically ADP-ribosylated by diphtheria toxin""",0,1835,63,610806015.2,568916208.2,572328828.5,574478610.7,575679669.9,552802621.7,818,64
"YOR027W STI1 SGDID:S000005553, Chr XV from 381053-382822, Verified ORF, ""Hsp90 cochaperone, interacts with the Ssa group of the cytosolic Hsp70 chaperones; activates the ATPase activity of Ssa1p; homolog of mammalian Hop protein""",0,222,47,81377636.71,92975079.93,93745223.85,88417602.69,83745459.2,79672566.03,102,40
"YGR264C MES1 SGDID:S000003496, Chr VII from 1021859-1019604, reverse complement, Verified ORF, ""Methionyl-tRNA synthetase, forms a complex with glutamyl-tRNA synthetase (Gus1p) and Arc1p, which increases the catalytic efficiency of both tRNA synthetases; also has a role in nuclear export of tRNAs""",0,99,28,48676246.95,49121852.62,49145117.53,48567862.38,45915696.6,45186671.33,50,21
"YMR217W GUA1 SGDID:S000004830, Chr XIII from 701789-703366, Verified ORF, ""GMP synthase, an enzyme that catalyzes the second step in the biosynthesis of GMP from inosine 5'-phosphate (IMP); transcription is not subject to regulation by guanine but is negatively regulated by nutrient starvation""",0,244,36,96095732.97,100023034.2,89803752.71,83464781.43,79254754.24,79079837.08,108,27
"YGL234W ADE5,7 SGDID:S000003203, Chr VII from 56482-58890, Verified ORF, ""Bifunctional enzyme of the 'de novo' purine nucleotide biosynthetic pathway, contains aminoimidazole ribotide synthetase and glycinamide ribotide synthetase activities""",0,167,35,50210713.6,46608711.88,46688460.33,47308304.66,44050660.24,39858421.59,68,27
"YPL061W ALD6 SGDID:S000005982, Chr XVI from 432585-434087, Verified ORF, ""Cytosolic aldehyde dehydrogenase, activated by Mg2+ and utilizes NADP+ as the preferred coenzyme; required for conversion of acetaldehyde to acetate; constitutively expressed; locates to the mitochondrial outer surface upon oxidative stress""",0,959,41,266438887.5,297376162.3,334050051.3,316891475,302295127.9,276716427.7,460,43
"YEL031W SPF1 SGDID:S000000757, Chr V from 90258-93905, Verified ORF, ""P-type ATPase, ion transporter of the ER membrane involved in ER function and Ca2+ homeostasis; required for regulating Hmg2p degradation; confers sensitivity to a killer toxin (SMKT) produced by Pichia farinosa KK1""",0,96,32,35215888.88,35454490.6,35912907.25,35739920.47,35261666.28,37698722.4,41,21
"YOR096W RPS7A SGDID:S000005622, Chr XV from 505795-505938,506340-506768, Verified ORF, ""Protein component of the small (40S) ribosomal subunit, nearly identical to Rps7Bp; interacts with Kti11p; deletion causes hypersensitivity to zymocin; has similarity to rat S7 and Xenopus S8 ribosomal proteins""",0,528,27,94878663.27,92022289.45,83458034.07,75764924.43,76509706.34,67410924.24,122,12
"YBL076C ILS1 SGDID:S000000172, Chr II from 84259-81041, reverse complement, Verified ORF, ""Cytoplasmic isoleucine-tRNA synthetase, target of the G1-specific inhibitor reveromycin A""",0,383,72,113807106.2,95319021.33,104420209.8,108620518.3,109835800.3,90930989.22,154,48
"YJL052W TDH1 SGDID:S000003588, Chr X from 338265-339263, Verified ORF, ""Glyceraldehyde-3-phosphate dehydrogenase, isozyme 1, involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell-wall""",0,1156,26,6067176.355,7140044.847,7806890.558,9881522.392,14077631.33,30932993.98,16,11
"YOR317W FAA1 SGDID:S000005844, Chr XV from 909340-911442, Verified ORF, ""Long chain fatty acyl-CoA synthetase with a preference for C12:0-C16:0 fatty acids; involved in the activation of imported fatty acids; localized to both lipid particles and mitochondrial outer membrane; essential for stationary phase""",0,91,26,16896749.79,18640803.11,23697717.57,28038332.11,31199102.7,38979917.64,30,15
"YHR064C SSZ1 SGDID:S000001106, Chr VIII from 227143-225527, reverse complement, Verified ORF, ""Hsp70 protein that interacts with Zuo1p (a DnaJ homolog) to form a ribosome-associated complex that binds the ribosome via the Zuo1p subunit; also involved in pleiotropic drug resistance via sequential activation of PDR1 and PDR5; binds ATP""",0,345,34,104114622.2,98084465.68,95134876.77,95603222.2,93324729.04,87148771.75,181,27
"YJR009C TDH2 SGDID:S000003769, Chr X from 454673-453675, reverse complement, Verified ORF, ""Glyceraldehyde-3-phosphate dehydrogenase, isozyme 2, involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell-wall""",0,2922,42,15715762.37,16102691.38,15130657.45,15328730.57,16268259.17,15652706.67,82,10
"YGR204W ADE3 SGDID:S000003436, Chr VII from 905939-908779, Verified ORF, ""Cytoplasmic trifunctional enzyme C1-tetrahydrofolate synthase, involved in single carbon metabolism and required for biosynthesis of purines, thymidylate, methionine, and histidine""",0,195,43,38749798.69,37530918.64,37026232.55,37503572.99,37125340.79,34274121.78,74,27
"YPR080W TEF1 SGDID:S000006284, Chr XVI from 700592-701968, Verified ORF, ""Translational elongation factor EF-1 alpha; also encoded by TEF2; functions in the binding reaction of aminoacyl-tRNA (AA-tRNA) to ribosomes""",0,2571,46,523288969.4,481866727.6,462859910.9,456747214.5,454368585,439607770.6,1588,51
"YJR016C ILV3 SGDID:S000003777, Chr X from 466200-464443, reverse complement, Verified ORF, ""Dihydroxyacid dehydratase, catalyzes third step in the common pathway leading to biosynthesis of branched-chain amino acids""",0,157,28,67489482.45,68622384.36,65921053.32,64700926.19,63119726.17,66912880.87,84,29
"YHR208W BAT1 SGDID:S000001251, Chr VIII from 517532-518713, Verified ORF, ""Mitochondrial branched-chain amino acid aminotransferase, homolog of murine ECA39; highly expressed during logarithmic phase and repressed during stationary phase""",0,241,28,100930323.7,95759009.73,95092110.31,103475947.7,102067477.2,100864930,107,18
"YCR012W PGK1 SGDID:S000000605, Chr III from 137744-138994, Verified ORF, ""3-phosphoglycerate kinase, catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1,3-bisphosphoglycerate to ADP to produce ATP; key enzyme in glycolysis and gluconeogenesis""",0,3202,57,992051626.8,1013659956,966117565.7,985078351,1000479856,962924546.5,1516,52
"YPL090C RPS6A SGDID:S000006011, Chr XVI from 378392-378387,377992-377288, reverse complement, Verified ORF, ""Protein component of the small (40S) ribosomal subunit; identical to Rps6Bp and has similarity to rat S6 ribosomal protein""",0,413,27,166555170.9,168471341.1,156741223,155449807.4,150993726.8,160922021.3,198,25
"YGR094W VAS1 SGDID:S000003326, Chr VII from 672190-675504, Verified ORF, ""Mitochondrial and cytoplasmic valyl-tRNA synthetase""",0,329,56,111046601.3,105479020,108927401.7,110775275.7,109992146.6,104051898.7,146,39
